id,price,moonRank,💎 score (%),storeURL,Background,Clothes,Earrings,Eyes,Fur,Hat,Mouth
2096,5.5,4175,61.03,https://magiceden.io/item-details/6obdq2NQqGMaPAHegbap98tLMSA2TQF6NhQepQsC2W2g,Mustard,Logo Black T,None,Roll,Golden Brown,Sea Captain Hat,Bored
2126,10,2462,29.97,https://magiceden.io/item-details/9WiyYw2ikkxC4bmbtXqjeWUBvmsD1BDM4XAAJx3aaa1D,Purple,Leather Punk Jacket,None,Neon Party,Cream,Cowboy Hat,Pout
2135,7.25,4339,42.19,https://magiceden.io/item-details/GV4i3FY1kHm5hfx4HiTeaTrTtvDpxWMRnA1Jw9WkJXu6,Aquamarine,Biker Vest,Gold Stud,Bored,Tan,None,Bored
2200,10,4804,10.91,https://magiceden.io/item-details/DEd9xjzqWgWUFwvsamoRwiZyeDZGar5rzsD9yeVdfnER,Aquamarine,None,None,3D,Black,Bunny Ears,Bored
2298,7.25,2563,56.65,https://magiceden.io/item-details/5WjUe3nnKtUGYoGC3TFGyLctHntdfiqXSedD2qnSuwET,Purple,Striped T,None,Crazy,Cream,Sushi Chef Headband,Grin
2312,10,3421,22.16,https://magiceden.io/item-details/HXSJiXrXStxfEeCU3inTVhhnxXFpLTzRGtwpzMAkqNJH,Aquamarine,Fast Food Uniform,None,x_x,Dark Brown,None,Pacifier
2331,6.96,3019,55.84,https://magiceden.io/item-details/CCowLgUCsbUTuCVWCujB4W9kqQD43jaPJKWPQMujcwRC,Gray,Black T Holes,None,Bored,Golden Brown,Police Motorcycle Helmet,Grin
2346,10,1403,38.58,https://magiceden.io/item-details/7BLqzdH9eFuuG94ZJEVd6UXrvyWBwJZaHvDeBA2DpG9S,Gray,Hawaiian,Gold Stud,Angry,Blue,Spinner Hat,Bored
2439,10,1410,38.53,https://magiceden.io/item-details/BnoXT3XkM2dKZUmWq1CLzwpyfiTCQog7doe1KTD9JxNN,Aquamarine,Smoking Jacket,Diamond Stud,Wide Eyed,Black,Sushi Chef Headband,Bored
2553,8,4725,31.55,https://magiceden.io/item-details/FDqRZwwv2g3SczJHk8NaL7qJNbKeDJbvKjsp3dZ2wcUZ,Orange,Wool Turtleneck,None,Bored,Dark Brown,None,Cigarette
2572,10,4898,10.15,https://magiceden.io/item-details/C5VqND5Bxc26vqB41PTeQPKcryF82oFXnXsU8wGotK4C,Dark Blue,Flannel Shirt,None,Bored,Gray,None,Bored
2581,8,2543,49.31,https://magiceden.io/item-details/9jtYNVTGycb5vxAYnWxXPGdYaevV66k54rPK3HBvVD24,Purple,Work Vest,None,Hypnotized,White,Camo Helmet,Bored
2588,9.8,2979,27.76,https://magiceden.io/item-details/A5g65KLomZEFKnDdk7iU9yVZcesccn3J86TyrHwtxDF4,Yellow,Sleevesless T,None,Sleepy,Black,Devil Horns,Pout
2768,6.93,2317,61.85,https://magiceden.io/item-details/G2DrBhL5K5vxzrveyo7fRj4c7Yk2d5DKbsuzXvh4HWSW,Aquamarine,Hawaiian,Gold Hoop,Bored,White,Police Motorcycle Helmet,Bored
2786,10,4897,10.15,https://magiceden.io/item-details/HWaDu9KBcpkRoNFuNtTMCVH23QC3SqjV1fSzskNQhd5d,Mustard,Black T,None,Awww,Black,None,Bored
2795,8.2,1520,55.63,https://magiceden.io/item-details/2G7AosDv7DbL5ZqPZCB9S5rxrEVJ3VaSoJNahP1SRACA,Yellow,Toga,None,Crazy,Red,Cowboy Hat,Ooo
2846,6.95,1189,70.83,https://magiceden.io/item-details/FQ4xVBHsDFgUQ9RYttadWxYN2VGuv7xNKcwPLta85dB2,Orange,Striped T,None,Angry,Pink,Girl's Hair Short,Kek
2863,8.5,2963,40.89,https://magiceden.io/item-details/Ffk1sJyD1Cou8W1HnWgrkxtfcnkAhpeN1ExxUipD4jBc,Purple,Sleevesless T,None,x_x,Cheetah,Bandana,Bored
2921,9,1612,46.88,https://magiceden.io/item-details/28NgdPhPcjGCoUwYn4mtpS9gHTjNmqC5hzDzEhGqxPnQ,Dark Blue,Smoking Jacket,None,Wide Eyed,Cream,Halo,Smile
3027,8.5,3707,34.84,https://magiceden.io/item-details/5vLeci6LggDkATzL9kNkPckBkzH7QhSj1kuy1YQiMSBV,Purple,Biker Vest,None,Closed,Zombie,Fez,Bored
3073,5,4256,65.37,https://magiceden.io/item-details/8vrXs9hmZWGTR9mAZMcg1PBmB6ZMivtfVcsEkTAB66vi,Yellow,None,Silver Stud,<3<3,Blue,None,Bored
3104,7.5,1505,62.75,https://magiceden.io/item-details/C6CfEuzGRieSPriFYbt7Mda9CwevWxpuxj5kGjkubTKy,Gray,Army Jacket,None,Roll,White,Seaman Hat,Smile
3120,6.45,2788,62.81,https://magiceden.io/item-details/2fWTiPT3uHqjoyviNX2xVLeDL8CoHQ6VieUxnE1iJz5r,Yellow,Black T,None,Bored,Dark Brown,Girl's Hair Pink,Kek
3191,9,3143,34.43,https://magiceden.io/item-details/UBgFsVM94oKKc2tvuqZKvZebU5Zt8KPdmmbKi5PobE1,Purple,Sailor Shirt,None,Zombie,Robot,Ushanka,Bored
3249,9,1482,47.94,https://magiceden.io/item-details/Av7DNpTgtYPwqsCVXjtbHrgkaP44QckaRp6YXzFW9Mvq,Orange,Striped T,None,x_x,Dark Brown,Irish Boho,Candy Cane
3307,10,3788,19.18,https://magiceden.io/item-details/FtdrXh3dvhMTssjpwM3FTWTCJCo7K5zgaxNJPzebTmXG,Aquamarine,White Bib,None,Bloodshot,Robot,Beanie,Bored
3328,9,3248,33.57,https://magiceden.io/item-details/27tNTRLQS69zGjFneugrNqHgnDfUVAutdR4b2T4JsZbS,Yellow,Tuxedo T,None,Wide Eyed,Gray,Police Motorcycle Helmet,Bored
3428,6.47,4788,46.34,https://magiceden.io/item-details/BaUA8tuM8FND7eSTbr7xvfwC5rrYSLUChxq4Sb2S7aSd,Dark Blue,White Bib,None,Bored,Black,Seaman Hat,Bored
3461,6.5,1776,70.55,https://magiceden.io/item-details/2V5xTPpDv82a3Er5aV2f7WuT8wFAV51D9ThdvprzKBNE,Aquamarine,None,Silver Stud,Scumbag,Golden Brown,Bowler,Cigarette
3484,9,2706,37.98,https://magiceden.io/item-details/3WE3FPWrQUWiSzzR8J2yxXjsoeccMszUbXr1bwRVdPsu,Gray,c22,None,x_x,Gray,None,Ohhh
3499,7.5,3539,46.2,https://magiceden.io/item-details/FK659jZnC9C2iRxV9oS98m2hezFiQiZBxS48nqcG5gEt,Gray,Hawaiian,None,Sleepy,Death Bot,None,Cigarette
3500,10,1552,37.37,https://magiceden.io/item-details/8Y7HZDdBtUyB68zrx2D5KdjLgaNFKWsW5UsZVSTJZGgG,Yellow,None,Gold Hoop,Hypnotized,Dark Brown,Fisherman Hat,Pacifier
3506,6.46,4247,50.84,https://magiceden.io/item-details/5ACWvbbcsjdvvvaXGUmLjVLDJbups46KwtJfsysA3F1W,Yellow,Cowboy Shirt,None,Bored,Black,Baby's Bonnet,Bored
3538,8.5,2996,40.62,https://magiceden.io/item-details/6Hr6gnrVpmpFHwXzM2XjJbKx7q5382z2UL3m5vUH6gYx,Aquamarine,White Bib,None,Eyepatch,Golden Brown,None,Kek
3582,8.99,3882,28.51,https://magiceden.io/item-details/7os86AqJQGfWEcwJWSjWstFdvLiD9FAPTgfziQyRDK1e,Orange,Flannel Shirt,None,Crazy,Cream,None,Smug
3687,8.98,3726,29.88,https://magiceden.io/item-details/23yAUueD3c2pGDQYdu1n1Zsb2gCj5dwXyD23qdg1wFNZ,Mustard,Blue Bib,None,Crazy,Red,None,Pout
3692,10,2782,27.36,https://magiceden.io/item-details/3yF3reqHq4nEg7xsjgk8sqcVdNWLMkVx8mvayuBgL8uj,Orange,Striped T,None,Sad,Cheetah,None,Cigar
3788,8.5,1321,54.25,https://magiceden.io/item-details/CBijqftn1MyuuWatghswHWqGixR4bHDTcLbh9ZMSYhz1,Aquamarine,Logo Black T,None,Wide Eyed,Golden Brown,Bandana,Wah
3803,9,1241,49.9,https://magiceden.io/item-details/CVQJmJKxECmbgrNCNq6uXCHvvMhdbkLvLJwHxtZWxX7s,Gray,Logo Black T,None,Heart Glasses,Red,Fez,Cookie
3807,8,3575,40.91,https://magiceden.io/item-details/AVZdgYqoGDSGzNTBymhQRuACGJ37GrcxgXGdWJpvadhH,Orange,Puffy Vest,None,Crazy,White,Halo,Bored
3835,5.5,4900,55.13,https://magiceden.io/item-details/HWdGXUTthcW7j833aiYepFWrUnVaY7qaH3D7JcreknXq,Yellow,White Bib,None,Bored,Pink,None,Bored
3856,8.42,4591,28.44,https://magiceden.io/item-details/nbQqiY9mCL89xZNKLoSeAhsnanv7HwxRYXr4xYgq3cD,Yellow,None,None,Neon Party,Robot,Seaman Hat,Bored
3897,10,4642,12.23,https://magiceden.io/item-details/CFrxf6dpoNCEDoGoLciR6Q1sQMX24pz2x34dAdZUGyyo,Mustard,Logo Black T,None,Bored,Golden Brown,Camo Helmet,Bored
4011,6.43,3873,54.19,https://magiceden.io/item-details/2LXKf4R2rFwphWSQ3BSWfYQwfRNyQV4ratGaBKSidZBG,Dark Blue,Guayabera,None,Blindfold,Dark Brown,Army Hat,Bored
4028,10,4355,14.56,https://magiceden.io/item-details/8X7uhJa2P5exmMNXc93RkDgEy3zWfkMqzsKXFx4rL1Vu,Yellow,Biker Vest,None,Bored,Tan,Cat,Bored
4096,7.5,4514,38.27,https://magiceden.io/item-details/EjcccYj2Fyzoxr4oD5UTnapMZDxQMUZH4n5TTuQBK8Vw,Purple,Bone Tee,None,Bored,Gray,Cowboy Hat,Bored
4108,9,2508,39.59,https://magiceden.io/item-details/6R8PSpHVcZisMUsKi26pU9c1zvYX4yWkbWq6fFvLz4rQ,Baby Blue,Black T,None,Sad,Dark Brown,Devil Horns,Rage
4118,10,2857,26.75,https://magiceden.io/item-details/5BiQzp63zVa2mVfinyJ5aSbQdqbTovTZ5uarYc7vCi26,Gray,Black T,Silver Stud,3D,Cream,Cowboy Hat,Bored
4157,10,1784,35.48,https://magiceden.io/item-details/EQcyDw8NqYhm1i8beJpF5wTJMYboCMv2rVgkJ3hegbQA,Yellow,c22,Gold Hoop,Crazy,Cream,Irish Boho,Bored
4224,7.25,1838,62.54,https://magiceden.io/item-details/EY7AoaR9FNFssvHjDEGaAK4hVWP9JngqSCoQU2dpeUi5,Dark Blue,None,Silver Stud,Awww,Blue,Safari,Grin
4262,9,1088,51.15,https://magiceden.io/item-details/HZm6i7Wq2n8NPdMrkHot7KbXbv8kX4UoMJg1J22W7qPf,Aquamarine,Biker Vest,None,Bloodshot,Robot,Trippy Captain,Grin
4277,6,3574,60.92,https://magiceden.io/item-details/3hZodyXgNFuBoXSPvoD7eEdGTPcBETDR9nRuhLs6DrWz,Mustard,Tie Dye,Gold Hoop,Wide Eyed,Black,None,Bored
4286,6.4,2101,68.9,https://magiceden.io/item-details/6roDrxYy61YDuv6sQRp9F3xx4cSBCgxRBumSsyEfYQYs,Aquamarine,Tweed Suit,None,Closed,Golden Brown,Beanie,Ooo
4308,7.39,3710,45.91,https://magiceden.io/item-details/5YGTd5YSVv9G8QoeUMme1R9XRwJ4sEnBxWZhXDL3ZM9b,Orange,None,None,Sleepy,Red,Army Hat,Smug
4416,9.8,1670,38.41,https://magiceden.io/item-details/Bqw5qNgQtJcGnqGsuU47vhM5N9bFHmn8sfs6dCmmyE4u,Yellow,c22,None,Sad,Golden Brown,Halo,Wah
4436,8,4512,33.29,https://magiceden.io/item-details/4vsQxPpnaY4Xms6YgSwcXwBs4ZRH4zxHe9GtKJUpnvQs,Baby Blue,Flannel Shirt,None,Steampunk,Black,None,Bored
4455,5.5,2575,74.05,https://magiceden.io/item-details/Br3S3Eo2SvvjC7g3EYCn8taYhkbXzXspxBQNcBPBvPzZ,Aquamarine,Sailor Shirt,None,Bloodshot,Tan,Irish Boho,Pout
4511,9.99,3126,24.66,https://magiceden.io/item-details/6Vv1TtUb7iijAhSLfeLV8wwvVXUUhZMXPk1LGKjNK8z6,Dark Blue,Toga,Diamond Stud,Heart Glasses,Dark Brown,None,Bored
4550,10,2422,30.29,https://magiceden.io/item-details/9vYBtpHcE4mNXpXK4jNRM99x38RWP3W9gwaMkP38S9Qq,Mustard,Biker Vest,None,Awww,Golden Brown,Safari,Pout
4556,7,4458,43.73,https://magiceden.io/item-details/E9LHWr3bQSqtQb9GLAjGn2nBHHiEiK3d2qBLvg3g25Th,Gray,Pink Dress,None,Sleepy,Golden Brown,None,Bored
4589,7.99,1673,56.49,https://magiceden.io/item-details/Akj8PjAWXRMaTfjFwUaNa7NrfUqoYKHcXRpMjjH8hKUo,Mustard,Caveman Pelt,Gold Stud,Neon Party,Dark Brown,Stuntman Helmet,Bored
4619,9,916,52.55,https://magiceden.io/item-details/6AZ6rM8kySdyxtwyzFkwc9VRCUkr63CuNmb556SwGdcW,Baby Blue,Sleevesless T,Gold Stud,Crazy,Gray,Beanie,Grin
4782,6,3674,60.11,https://magiceden.io/item-details/AGJLETAzwknQKF72x2a67ENQ4mKhrf5XDeohALzzV7UJ,Dark Blue,Lab Coat,None,x_x,Tan,Beanie,Bored
4884,8,4258,35.35,https://magiceden.io/item-details/J5jg6pwwvzbC2uhPrK3C4nTdNFDQKPW9idZ8WwmMnszW,Mustard,None,None,Crazy,White,Girl's Hair Pink,Bored
4908,7.99,1799,55.46,https://magiceden.io/item-details/2nJRXsGjfL2LiVReQPVsHcRTXkyBG5dwDc3MYfToVJsL,Purple,c22,Gold Hoop,3D,Golden Brown,Cat,Bored
4912,9,3217,33.82,https://magiceden.io/item-details/CXZgRgMfC7Ne3e3aFzzaJXGLy4Q5hWHaiKAC4isD5bX1,Aquamarine,Rainbow Suspenders,None,Awww,Zombie,None,Smug
4924,8,4736,31.46,https://magiceden.io/item-details/EkPm6YqmVoXQLfr2DsNrJZBDWZnnLvjUfgMW7Lz8CGzU,Mustard,None,None,Sunglasses,Black,Irish Boho,Bored
4976,8,4835,30.66,https://magiceden.io/item-details/DnkATKRJ7dE2DfkcBTMALEimFFhgfvmiQV4Upt8GQwbc,Gray,Red T,None,Bored,Cheetah,None,Bored
