id,price,moonRank,💎 score (%),storeURL,Accessories,Background Color,Background Design,Body Color,Eyes
319,8,476,42.77,https://magiceden.io/item-details/FeUrEhmC9SuYngewFKETjNj14UdSwQWQAh8HdT2GYYqw,Earring,Pink,2,Red,Sinister Green Eyes
342,30,5,0,https://alpha.art/t/7Kes2Whej2srxm78v1vnQdm2WZT8v7RHPnm2U7UzhQhV,Earring,Pink,2,Purple,Trippy Eyes Blue
344,6.5,735,48.39,https://magiceden.io/item-details/Ar5EggsHUVGK2VbJRNAPpaPpkMQ3rNTPT7D1F9St96Xt,King Crown,Pink,1,Green,Stoned Eyes Blue
346,5.45,581,64.47,https://solanart.io/search/?token=47YamRhaSZ9AYWgueLJJMBHz4issgXjaFLMLv1qLFX2U,King Crown,Red,None,Orange,Stoned Eyes Purple
349,30,249,0,https://magiceden.io/item-details/2kwzUNtE8cTonDtGsNfnxtfRfTYqSiCGPXVdSoYREVSH,Trippy Top Hat,Pink,None,Red,Stoned Eyes Purple
358,4.9,877,59.25,https://solanart.io/search/?token=Hst4LqnHvnpqMWyJEr7xjNiAgEHnk1g78EdhuQ1j96SD,Earring,Blue,None,Green,Sinister Purple Eyes
367,17,698,0,https://solanart.io/search/?token=6LQ226ZwauT32EvfRSbQkrSfZShkN6t7exoN1czwVGEn,J,Green,None,Red,Stoned Eyes Blue
370,42.689999,775,0,https://solanart.io/search/?token=EThws588byDruRwtU3zsSQKX3u8bqAUNa6h8o44QYZNf,J,Red,None,Green,Cute Blue Eyes
371,10,574,19.22,https://solanart.io/search/?token=3P9n4dbUDLWy4iujffk31NDUPE3j84tNQsJMawciBsST,Earring,Green,None,Red,Sinister Red Eyes
383,7.77,1102,22.41,https://magiceden.io/item-details/2R42imRuj4Yz5nixWNzNKP35YaE6CDSNiJ56PS1SMkSG,Bun Lyht,Pink,None,Red,Sinister Purple Eyes
385,12.39,287,5.71,https://solanart.io/search/?token=3ur8ozyDxV7M1gWiTFT1N6YMKUs1ktjzpMf54Qzxb7a7,J,Green,None,Purple,Stoned Eyes Red
386,4.5,815,65.5,https://magiceden.io/item-details/EmGZtgFhsZcGKkVGDCmPpakk1rQGkZg29dD8E5YNtNAz,Bun Lyht,Pink,1,Orange,Stoned Eyes Blue
389,11,708,4.37,https://magiceden.io/item-details/6eLmvf2zZJJSqNqohBCJ2hUH6PcfS3MU1gunR5JMgebJ,King Crown,Pink,2,Green,Sinister Green Eyes
390,8.4,446,39.86,https://magiceden.io/item-details/GTPShUoPWTz8j7xsmhb79FMkNHR9DFr6m4REbTGF6bdc,Earring,Green,None,Green,Stoned Eyes Red
394,33.689999,64,0,https://solanart.io/search/?token=5cjqqvAugNXTW34bitD3Ubn4JiW8cv23QY5DM51F317g,LSD Tongue,Red,1,Red,Cute Pink Eyes
396,99,201,0,https://solanart.io/search/?token=2hpZDG3wMGCsNfaSpiifHY2tmgLG31SrHdy2K2sFPT48,King Crown,Blue,None,Orange,Cute Green Eyes
398,17.690001,758,0,https://solanart.io/search/?token=7TfMtTozKctCyoR5uFbK6vt46tMQ4H4QoEswPLivpCXR,Bun Lyht,Red,None,Red,Cute Blue Eyes
402,44,16,0,https://solanart.io/search/?token=2VaWNh1VRUW16dR69UtM8SVYwJMtJFQkcWpk6gafbs4k,CD,White,None,Green,Stoned Eyes Yellow
405,12.97,177,3.89,https://solanart.io/search/?token=DqqCWbusiGbwUXCMHU1AJJAgTsZq1fm5g4CkgAywkJ2T,King Crown,Pink,1,Purple,Stoned Eyes Yellow
408,26,787,0,https://solanart.io/search/?token=8gvNPmmkTAeVGA874C4cidnhyAvPV9Bm5EMh63WLUNpN,Bun Lyht,Pink,2,Orange,Sinister Green Eyes
419,12.98,279,0.1,https://solanart.io/search/?token=E2sqatGzu2FqkmrCrBqFdUis4fQnLiPaNwWAVUPgQcv5,King Crown,Blue,1,Red,Cute Blue Eyes
421,7.9,7,60.75,https://solanart.io/search/?token=9YYBLkWSTaip3644CsR3MxvQusf1HuL6tx7QZ1SuaEoC,Trippy Top Hat,Green,2,Purple,Stoned Eyes Yellow
429,6.99,716,44.18,https://solanart.io/search/?token=2ZKUnTca7BD11jNtR9K31nKw59dfH7E9Aza4afXD6vvy,Bun Lyht,Green,2,Green,Sinister Purple Eyes
435,40,187,0,https://solanart.io/search/?token=7YYmeZVmfm5mMQQAYKW7oSW7VcrfE2wNDyvaVv9BpCDR,Tattoo,Red,1,Orange,Stoned Eyes Purple
443,27.690001,89,0,https://solanart.io/search/?token=F2kbVa2TbmLrawAmMuSspE2FDASzi9xwpAZiMD6gbmyV,LSD Tongue,Blue,1,Green,Cute Blue Eyes
459,30,450,0,https://exchange.art/single/C1SknSzdNr4FEHHcgCxfst7kPEYDnA7iawzCyfbgcm3B,King Crown,Pink,1,Orange,Stoned Eyes Green
467,9.5,691,19.99,https://magiceden.io/item-details/7twvpvJPrcFifiLvWqoDozfhj4u1Ud2S68w1fdMviPvf,Bun Lyht,Pink,None,Green,Cute Green Eyes
477,7.5,931,31.3,https://alpha.art/t/9PThmjFYsAFG6GNm9fsGFHJEu1CFHDYsAbcgWqrLSziK,King Crown,Red,None,Orange,Sinister Purple Eyes
478,49.990002,123,0,https://solanart.io/search/?token=BiQvbBqat8wFQ3aUne5CWsP6zFxHXYQWhUd3Pbqun87s,Trippy Top Hat,White,1,Red,Sinister Red Eyes
490,45,973,0,https://alpha.art/t/C2xwSE1Y6ZAB5uzofXCK2RorA35m5Bss898W1NuTkKk3,J,Red,None,Orange,Sinister Red Eyes
495,24,539,0,https://alpha.art/t/HXu6d8T95CXU8AhbVxDyNWGAVG1qVEhBfBPQc1hwyW28,Tattoo,Green,None,Green,Sinister Green Eyes
531,15,741,0,https://solanart.io/search/?token=5wxxtQ7ZshU9UjZwyh2L7omRwshwQSy8CgDzLUivE1Sf,J,Pink,None,Blue,Stoned Eyes Blue
553,30,307,0,https://solanart.io/search/?token=2R9jb6Z2a8weEjVL1D6TZ4sx79ZKxv6BE2dUkdx8grT6,Trippy Top Hat,Pink,None,Red,Stoned Eyes Blue
555,15,796,0,https://solanart.io/search/?token=4n3BhcWuWPssnRkrUaYcuCMhqe6PmZp3TSkEDBLJZ4yy,J,Pink,None,Orange,Stoned Eyes Green
565,15,354,0,https://alpha.art/t/C3hvHJqp1NUs9rrTeARKoQThHgJNcVGuytaboya2sY57,J,Blue,1,Orange,Cute Blue Eyes
571,12.88,753,0,https://solanart.io/search/?token=7yQy2wVStK79sPEd5NKYK3pGWGVAmKqG3QYaXn5epjuw,Earring,Blue,None,Red,Sinister Green Eyes
573,35,328,0,https://solanart.io/search/?token=68VUNraV5vqFnt8SYew8E5VLJKzmGuavpCW2B1pX5Fz,Trippy Top Hat,Pink,None,Green,Stoned Eyes Red
587,9,767,22.24,https://solanart.io/search/?token=21kiXarEdyWB73EspoNmKYoEXLfeYs2obZc1NcQ65z8j,King Crown,Green,None,Red,Sinister Green Eyes
604,39,565,0,https://solanart.io/search/?token=3zv3a2WEYD5eMdGaL8ifognEsefEYLcfCZvQymu12Eq1,King Crown,Red,1,Green,Stoned Eyes Purple
605,20,1105,0,https://alpha.art/t/E9DQbdXRgG2ioHp9bivHpR14T6Q84d7dG9RkJkMr51MU,Bun Lyht,Red,None,Green,Sinister Purple Eyes
613,12,219,12.07,https://alpha.art/t/HKvuzZyFboWZJH7VtfSyNFycvQudvAQ3HpcDcf4c7Yak,Bun Lyht,Red,None,Purple,Cute Green Eyes
618,10.74,78,29.78,https://magiceden.io/item-details/9SbpY8Q1EM5NBqPpGbPCmL2qUKJ7RUDodcKfZELd1qNQ,Bun Lyht,Red,None,Orange,Trippy Eyes Red
621,6.6969,409,58.23,https://magiceden.io/item-details/Bic47qdxvHoWkPzwsmxPpyzvnv3wVXSX1d1iyJT4H9D3,Earring,Red,None,Red,Cute Red Eyes
626,48.889999,584,0,https://solanart.io/search/?token=FQGoSgNaxHHAXk3zDjjWT9BesyznACU4QBcCi8rUws8R,Bun Lyht,Red,1,Purple,Sinister Red Eyes
630,8.55,501,36.36,https://magiceden.io/item-details/9T6QLSejSpVDMY8agg3v2vgwdBxk5m3h2Q1dFvErE77C,J,White,None,Green,Cute Red Eyes
632,15,272,0,https://solanart.io/search/?token=FEpFrAz1A8jejuXVdv7qEG6iqe6mqJQkhsyqnUX4NnBQ,Bun Lyht,Blue,3,Green,Sinister Red Eyes
633,12.98,102,6.51,https://magiceden.io/item-details/TjU4dVf4Qz5RTZvgoKfAqWdW9NXeXz1D12gLNZt21V1,J,White,3,Orange,Sinister Green Eyes
634,9.9,387,26.99,https://solanart.io/search/?token=GjhWdHFybGBoqezeDbg8jhmhTa3GwpUszNKqsw5sKhpn,King Crown,White,1,Green,Stoned Eyes Blue
664,50,40,0,https://solanart.io/search/?token=AbB3y9ypRvTWN5sDH1iuk65wh6WjNSoJ3WMeRwtQfgCF,J,Blue,2,Orange,Trippy Eyes Green
667,6.9,678,46.46,https://magiceden.io/item-details/CJCeiszyVRLExwubZCUveCX3Mce1RLEtHmbGeBRPx15o,Earring,Green,None,Green,Sinister Red Eyes
675,10.75,294,21.86,https://alpha.art/t/HwPmtzWe79jSAhHAiTxsCYFZGhN8kbn5aqESxdCPmnWw,Earring,White,1,Green,Stoned Eyes Blue
710,27,793,0,https://alpha.art/t/EMQVXFzsZCuPz3NjeVwAU9cT8W2RgHVddNqRihDUBEaY,King Crown,Red,1,Red,Sinister Green Eyes
717,88,521,0,https://solanart.io/search/?token=71uQnU1uED1yTZQ5mw1e32xfQRQ4fJD4U6u9TUDKcdJD,J,Pink,2,Blue,Sinister Green Eyes
735,4.3,1095,57.36,https://magiceden.io/item-details/3iThLJgzc9UTc1FX8MMKQkhDYtqhXqJuMziMd9dUxn8q,J,Red,None,Green,Sinister Purple Eyes
740,5,681,65.35,https://magiceden.io/item-details/WwWYwqPJjLtKc5dVBLAsxGph4zyZsaPnFeFwSy1YHK9,Bun Lyht,Blue,2,Red,Sinister Green Eyes
759,13,747,0,https://alpha.art/t/2ZhYdWNFNQxuHRrCFsvKTEhzyapS5pJriaYNzg1KVfbP,Mushies,Blue,None,Green,Sinister Green Eyes
761,5.7,402,68.45,https://alpha.art/t/5dT4ZKFgzEczG5fXZw8rVRTfxSyYfhE8oDfKd7nKBkTQ,J,Red,1,Blue,Stoned Eyes Purple
763,8,884,28,https://solanart.io/search/?token=AnWSwZv6MKwKJXkjV8MGBSRSQNx73jBhUGNUu18dSPG9,J,Blue,1,Red,Sinister Purple Eyes
764,764,566,0,https://magiceden.io/item-details/9Kr1jWQ1xvfQGMcJu6aoBmRKkRNLe9YWrUSMvWWRM2KU,J,Red,2,Orange,Sinister Red Eyes
776,45,179,0,https://solanart.io/search/?token=7o72LyfS5iKCzoJMruAyZQAdRDsR4bRDEyER2XuWcabN,Bun Lyht,White,1,Purple,Stoned Eyes Red
784,10,575,19.19,https://solanart.io/search/?token=AVgefcRBggcN9nSiBLG6tFtq4GWxJQVCSRjLBPXF1j5Y,J,Red,1,Purple,Sinister Green Eyes
789,9,740,23.21,https://magiceden.io/item-details/5hTnhfTMJmXAxVmsArhsCVgP1NpMZ68BdqHgKVgDFyPd,J,Red,2,Green,Sinister Red Eyes
791,15.99,429,0,https://solanart.io/search/?token=JBtgrLnG8r96647jQTUcEtpR9eXeZ4raRUAQvCi99NkE,Mushies,White,None,Orange,Sinister Purple Eyes
811,7.8,958,27.32,https://magiceden.io/item-details/23RXzX87vBYBXE9JRTQo6QYuPTedT5mdopsnZqm7urtm,Bun Lyht,Red,None,Red,Stoned Eyes Blue
816,17,671,0,https://alpha.art/t/8nqVaxhzqqQK7mSeJUcwUKMASHhKU7g6Y9DVLUV7FLWp,Mushies,Blue,None,Red,Sinister Purple Eyes
826,40,281,0,https://solanart.io/search/?token=BmyvFj8aqBF8TvECv7vQQtJkQAiBXAWXsqzjdASspo5D,J,Green,None,Blue,Cute Blue Eyes
829,17,152,0,https://magiceden.io/item-details/7sFrVGqLbHNab2bCfmdN1N1kHd2bEiUSpj7AdPpJy12v,Earring,Pink,None,Green,Trippy Eyes Green
831,10,949,5.65,https://magiceden.io/item-details/E155YwirBdRh3hAyu3RkkcZDa58uLaZ7ZENeRn4PvJJj,King Crown,Pink,None,Red,Sinister Red Eyes
837,108,567,0,https://solanart.io/search/?token=5RfG2HHbbP76sCqg44jzzKf3WaU3PecA6jFGMbNBMhLU,J,Green,None,Orange,Stoned Eyes Red
838,45,19,0,https://solanart.io/search/?token=EbGyqis5WtZ2AQbTb8WB2jCGikVzVkacBibCy9FiCSUw,Tattoo,White,3,Red,Sinister Red Eyes
839,13.69,703,0,https://alpha.art/t/35ZRTF8wF62hSBiX9Ffe8FpYMe9Q1F34PpAqX6YEbeD6,King Crown,Green,None,Orange,Sinister Green Eyes
854,19,1103,0,https://solanart.io/search/?token=G4i2inQ7am3qQBKYSjB22WgQZ5m475pGcqaQ2NEEp7sX,Bun Lyht,Pink,None,Red,Sinister Purple Eyes
858,41,27,0,https://solanart.io/search/?token=BpicHmu44LQCFDwQoXBP73jbo9RcxKDNitdhBexL4w6H,Mushies,Pink,3,Purple,Sinister Red Eyes
872,420,546,0,https://solanart.io/search/?token=9m1avWoiZtgk3ApuMXEY8swQLA6dx8Z2nEhu4ueaVXnS,King Crown,Pink,None,Orange,Stoned Eyes Yellow
876,14.5,485,0,https://solanart.io/search/?token=4MrDnwzxhdYxqYcmByRc82maiYx5j84YbmGW5MxMJMAF,Earring,Green,1,Red,Sinister Purple Eyes
889,8.69,1071,14.33,https://alpha.art/t/7M2onNSrWeWAtcQHSk3otMnjNEtdhc2F8uKGofGGTeFM,Bun Lyht,Red,None,Orange,Sinister Purple Eyes
895,4.8,233,83.57,https://solanart.io/search/?token=Lh6z8W3LFbzdTqrBUeLVcXWcBdSUrk6RAVCee5pWMji,Bun Lyht,Red,2,Purple,Stoned Eyes Blue
896,7.8,879,30.18,https://magiceden.io/item-details/AzbWvgjnEVm83UnVAuvjyCRNWRVhp8Sh8cXhMRCUTW6q,J,Pink,None,Red,Stoned Eyes Purple
898,10,52,38.12,https://magiceden.io/item-details/EcZ9bMNeJJBjSXDWmwzaakFrpXmqSDJwyZpwcsNXRfzk,Trippy Top Hat,Red,None,Blue,Cute Pink Eyes
904,6.5,636,51.98,https://magiceden.io/item-details/5oNDBGrbc1LdgbiUR5SbXheRH1nt7sQocc3LxreZGcP9,Bun Lyht,Blue,1,Red,Stoned Eyes Red
905,8.5,587,33.75,https://solanart.io/search/?token=9gUfX6mRD6QMoCqVgANQDMugvGGxmhG44Y5ouXEqurS6,Bun Lyht,Pink,None,Red,Cute Green Eyes
906,19,807,0,https://solanart.io/search/?token=D2VUpniKPEaGU7q7V7PFpbc6ATVGnj5xTEEQRL2mea1G,Bun Lyht,Blue,1,Green,Stoned Eyes Blue
907,8,876,28.29,https://magiceden.io/item-details/5AGcdnCGAqJAJiaVwknydNqfcbfntvwr4pW3pPQerzwj,Bun Lyht,Red,2,Green,Sinister Green Eyes
910,10,264,30.44,https://magiceden.io/item-details/3RQFir9BzP2v3kLhrhL2Bu4adMMSP8hGSDRL9D8Pfwf7,J,Pink,3,Red,Sinister Red Eyes
917,15,14,0,https://magiceden.io/item-details/3EANMuPr93px5aoH7AQZUQsUrNT8LpMzntPW6MZc6M7y,Bun Lyht,Green,3,Orange,Cute Green Eyes
922,70,856,0,https://solanart.io/search/?token=BmRUR1EomYd3pk6BVrD477wJ9H6DWW8SkBa6LB9D42zE,King Crown,Pink,1,Red,Sinister Green Eyes
936,4.8,699,66.7,https://solanart.io/search/?token=DxMg2U5BUetkcTFYFpwQBytMDR6hdWR3LWhddD2CYQmM,Bun Lyht,Green,1,Orange,Sinister Red Eyes
940,5,599,68.32,https://solanart.io/search/?token=24fzqVuvZxgZ9aGZX7WUZ5tVWw6JVQVS4JDU4KtCmKTT,Mushies,Red,None,Green,Stoned Eyes Blue
951,100,912,0,https://magiceden.io/item-details/HsvqVvDDop2U2FuSYXpHAUAp6sMyF3cf3HMD8pBLdHT2,Bun Lyht,Red,None,Blue,Sinister Red Eyes
954,30,169,0,https://magiceden.io/item-details/GNK2mjUKd2m78DwttbJRrcGdxPy9JkLEaiahgLbCrFj1,Mushies,Pink,1,Green,Cute Green Eyes
984,6.8,993,36.05,https://magiceden.io/item-details/5E1TGZFNhcdoKRWNKjsETSJFin2NbDTwEGmHEnvFiYyq,J,Blue,None,Red,Sinister Green Eyes
985,90,1051,0,https://solanart.io/search/?token=8eLdDjHRyGrGV8RJSd76pBxU6jozQndR5Jb5zvtG3mNh,Bun Lyht,Pink,1,Green,Sinister Red Eyes
993,20,275,0,https://magiceden.io/item-details/5D5Vq4ZouckQVNi7qXjYcxNMFPJvDXryN1W2Gk51MRkb,Bun Lyht,Red,3,Orange,Sinister Green Eyes
1003,45,240,0,https://solanart.io/search/?token=51KRk1f5FtMCrfkWH2A73BzVLLFkC64dZEc5DQHsNrCU,Mushies,Pink,2,Blue,Sinister Purple Eyes
1012,14.9,1076,0,https://alpha.art/t/Dk3HsJSkFR6GLF99RHUBcBawCjBu6f7Jwk9hyeMmRHNc,Bun Lyht,Red,None,Red,Sinister Green Eyes
1016,33,497,0,https://solanart.io/search/?token=DPCGKcu5zxncYzC3U9eJcT17FnaP9oEY5DnL56yuzXVz,J,Pink,None,Blue,Cute Blue Eyes
1025,35,683,0,https://solanart.io/search/?token=DAQw6onsNZjQdTk9nJxJEJaUmj2ZV9snnkNb3JwRz5ZR,Bun Lyht,Pink,1,Red,Stoned Eyes Yellow
1036,14.99,562,0,https://solanart.io/search/?token=8mMNS6ULEC6ZGJRaq14nSiQNbUHnYb1TyvnmvukUcwmY,Mushies,Pink,1,Orange,Sinister Green Eyes
1058,14.5,365,0,https://alpha.art/t/3A2YoE8ejS8BmtXiZXNwtRcRmVWxshm7U6qUr1BPVuE3,Bun Lyht,Blue,None,Orange,Cute Green Eyes
1059,4.9,253,81.84,https://magiceden.io/item-details/2sB5AqLKx4qFtdt57M4B74JpmwdRwW3Mzk4c5uXjBQYh,Mushies,Green,None,Green,Cute Red Eyes
1060,7.6,54,62.05,https://magiceden.io/item-details/211pys9N4SiFNdq1BJADksgJZ5DqXQByc66YthL1T1Tk,Earring,Pink,3,Orange,Stoned Eyes Red
1066,36,212,0,https://solanart.io/search/?token=D32M8CDtSQMEgBf8TrJg8aWa3qtShSn8kPG1iDvyhW7H,LSD Tongue,Pink,None,Purple,Sinister Green Eyes
1076,19.690001,295,0,https://solanart.io/search/?token=HxDaUwmeTLzpd9GVc5yYuFNCZ7bU3tUntabXaE4jvg5r,LSD Tongue,Blue,1,Green,Sinister Green Eyes
1085,5.4,734,59.43,https://solanart.io/search/?token=EF2L4a7rvpvUfbUBEcSVzffgCnokBDbhH3ukUDCth43V,Bun Lyht,White,None,Blue,Sinister Purple Eyes
1085,7.2,734,41.43,https://alpha.art/t/EF2L4a7rvpvUfbUBEcSVzffgCnokBDbhH3ukUDCth43V,Bun Lyht,White,None,Blue,Sinister Purple Eyes
