id,price,moonRank,💎 score (%),storeURL,Accessory,Background,Base,Face Feature,Hat,Nose,Shirt
701,0.34,874,62.46,https://magiceden.io/item-details/GnyZm6oiZnPiJUj5GPGtBedoKjW97aBTq6Qu24zA6vo2,None,Lavender,Green,None,None,Pink,Brown Shirt
731,0.3,604,73.72,https://magiceden.io/item-details/3cubcH4kGYJ3rpddxmuzCRtgSi9jUkTzuTx84LUCGf1Q,Solana Vipers,Lavender,Grey,None,None,Yellow,Green ZipUp
747,0.18,759,68.69,https://magiceden.io/item-details/F5aTGxVjo36YL3jsTZa6ntgbYRKY15UCMKyMADY3FuEZ,Purple Sunglasses,Purple,Sage,None,None,Brown,Pink Shirt
857,0.66,678,67.14,https://magiceden.io/item-details/8zURdUXVUxHQbJTgWcp192nffzfbtFXgxcc8CJzC8rcX,3D Glasses,Purple,Sage,None,Plunger,Yellow,None
865,0.18,379,83.96,https://magiceden.io/item-details/AA1ZVFC8acKtD3DoCvTGDbsU7aoUMyRYPsJrHXaxsL3Y,None,Purple,Red,None,Lucky Hat,Steel Grey,Grey Shirt
872,0.39,830,63.73,https://magiceden.io/item-details/5uipoyZWVFK2681onMqccjFTjY9pNK3CBjWFh62WNZsH,None,Sunflower,Harlequin,None,None,Magenta,Red VNeck
885,0.42069,169,90,https://magiceden.io/item-details/Hz27viA8goxni2uxznF6opLtsaifj4NuHLREsbZg3Lbw,Cigarette,Pink,Orange,None,Hoiche Hat,Steel Grey,Grey Shirt
922,0.24,486,79.06,https://magiceden.io/item-details/5bfJ9sB8E3idiXvhWWk63BrrZ59Kfcshr9G9CqKPkgXn,Orange Sunglasses,Orange,Orange,None,None,Pink,Brown Shirt
967,0.2,51,96.95,https://magiceden.io/item-details/GhSm85bUm9PdMA2881iqgaw8ahWb3BE8rcPgfHTRN881,Collar,Blue,Red,None,Cowboy Hat,Brown,Purple Shirt
986,0.48,738,66.53,https://magiceden.io/item-details/FAbSiWhxQDAswRRgoBwwMcHg7d9CtjcS5EizMviVfXnw,Orange Sunglasses,Magenta,Sage,None,None,Pink,Blue VNeck
1026,0.2,985,59.4,https://magiceden.io/item-details/H6NcheuHKwsWnXzyxwmrpA186FNxkscEhipYZwJNwia3,None,Orange,Cyan,None,None,Black,None
1031,0.17,665,72.57,https://magiceden.io/item-details/DfV8XXfKaGr3gH3xHuw6sBeafJJotNRjpxXuKJENNdYP,Purple Sunglasses,Purple,Harlequin,None,Pumpkin Hat,Brown,None
1035,0.18,554,76.93,https://magiceden.io/item-details/HszV7e3wqcuNJwLVMerfqAqY39xArQVH525hbLd5jHgq,Solana Vipers,Pink,Harlequin,None,Pumpkin Hat,Blue,None
1053,0.249,219,89.71,https://magiceden.io/item-details/FwUGcW1vaSC8QgDjx27TPs13PPgXGqcLqXC4FupkSsyT,Green Readers,Sunflower,Green,None,Ham Hat,Yellow,Red Shirt
1063,0.18,720,70.26,https://magiceden.io/item-details/FzYN3Usvuu3FyFYtY3QGwhZT8sAHkLJow3LmjVJnefKC,Inverted Solana Vipers,Blue,Orange,None,Purple Miners Hat,Steel Grey,None
1123,0.2,287,87.46,https://magiceden.io/item-details/BdxdLFGkDa8CGFBJbfB7hBvvK6aTddsQaaxMqL3tpuk1,Inverted Solana Vipers,Green,Grey,None,Patrol Hat,Steel Grey,Blue VNeck
1126,0.2,995,59,https://magiceden.io/item-details/6Fm3JPmLz53FeiQ2C7dVp6GZEjsyRVZVU2iBQmZj5eoZ,None,Purple,Black,None,None,Purple,None
1137,1,671,64.03,https://magiceden.io/item-details/2oKSXdXai86W2y8d2vdRiqb17sVXdNd7k4ZHnnt55Tdd,Solana Vipers,Blue,Sage,None,Goku Hair,Black,None
1139,0.1,886,64.38,https://magiceden.io/item-details/3qPGC6hkSDJpApNGvACwTY1AiajzYV9qpCQ3rphBXnpt,None,Purple,Green,None,Cute Hat,Light Blue,None
1143,0.34,448,79.59,https://magiceden.io/item-details/A4uwNEA1yJ963X9kvfKukeamMTo6s1CQqDKHfpa534r6,Blue Sunglasses,Purple,Steel Grey,None,Fun Hat,Blue,None
1151,20,864,0,https://magiceden.io/item-details/GECicgRN9FtCMkVxg4Sk1StjP8xB1tKXfVgaDu5A36VX,None,Magenta,Grey,None,Flower Hat,Sunflower,None
1169,10.6,8,0,https://magiceden.io/item-details/D4NeuLZ3XD4rnBXQXsUhvHz4QEAppuV4i3C14EDDbe46,Happy,Happy,Happy,Happy,Happy,Happy,Happy
1179,0.52,473,76.78,https://magiceden.io/item-details/JCuztaNkS3zbqoThCqC74B9yttBTRMDScQw7dnVSQvWC,Green Readers,Magenta,Grey,None,Ham Hat,Brown,None
1189,0.52,158,89.45,https://magiceden.io/item-details/2YHBCvY3WAF9HG8GKVEZBSCrqbkLFS715eY9ScipX1A9,Orange Sunglasses,Orange,Harlequin,None,Frog hat,Yellow,Patrol Shirt
1201,2,993,41.08,https://magiceden.io/item-details/EZ3empj5xGLiYg4gEd9n7P6TKDWVtyCLKohVUcR8SmzU,None,Lime,Orange,None,None,Purple,None
1215,0.6,781,63.6,https://magiceden.io/item-details/J69Qji7d54gihNh4eysCgE8vSP9TgjdqaVwHxGe3hh7W,Pink Readers,Cyan,Green,None,Purple Miners Hat,Sunflower,None
1302,0.2,419,82.16,https://magiceden.io/item-details/6Ud5fxF1wh9KhasgPZvh42MGeJHaGcas7w7bh9fC9taB,Solana Vipers,Salmon,Cyan,None,None,Brown,Grey Shirt
1327,0.159,276,88.31,https://magiceden.io/item-details/3Mgqhc8QsxEmiKXwMCg1xgcFKaiPCyDy73Edh3DiF8oj,Gold Chain,Lime,Fuschia,None,Flower Hat,Purple,Pink ZipUp
1330,10,483,0,https://magiceden.io/item-details/8uWcCvZre6rvnCC72s6Wizbf2gwEZrPVCN5KcNzYGgJP,Blue Sunglasses,Lavender,Harlequin,None,Frog hat,Sunflower,None
1380,0.25,227,89.37,https://magiceden.io/item-details/3om7WzUytWfAVJdzrbaNQeKAQRVXc87mwEhPiQDxzMu4,Collar,Cyan,Green,None,Flower Hat,Sunflower,Grey Shirt
1402,0.5,12,95.52,https://magiceden.io/item-details/8Yit6DVxHnmorUULzQXnuA5NPS38twvGqPWmkxqWjaYa,Solana Vipers,Lime,Orange,Fangs,Frog hat,Black,Blue VNeck
1408,1.5,906,49.58,https://magiceden.io/item-details/GvZfk9nJxBaX7pY3RMmCtuNHFx6HT71HyaxYuzBzZuFE,None,Magenta,Sage,None,Buccaneer Hat,Pink,None
1442,0.535,485,76.15,https://magiceden.io/item-details/ASCaLfcLFiEzC2RGAvnPcPevsSE1sj1uW7UyTyHNJJu1,Orange Sunglasses,Blue,Grey,None,Wizard Hat,Brown,None
1447,0.18,686,71.62,https://magiceden.io/item-details/4HYnZwWcJExx4z5ViwFnNj8a93mF8jG8hqpF8csX6opp,Inverted Solana Vipers,Blue,Steel Grey,None,Plunger,Pink,None
1462,0.25,110,94.08,https://magiceden.io/item-details/6ohivawLrzMXdd2tHZeVy2CnXTUUxYW1R1tQZDoCqtJx,Collar,Pink,Black,None,Lucky Hat,Purple,Yellow ZipUp
1480,0.72,342,80.05,https://magiceden.io/item-details/99kL3DDNa1VRvjatQzJVdXi7kKoZXqMenDxw7ZHqLdpT,Purple Sunglasses,Sunflower,Black,None,Flower Hat,Steel Grey,Red Shirt
1495,0.35,217,88.78,https://magiceden.io/item-details/43GM8s1S65vA7suv8w9gKjD6gQpwWjMkgmRZDkKi6peA,Solana Vipers,Teal,Lavender,None,Purple Miners Hat,Light Blue,Brown Shirt
1501,1,669,64.11,https://magiceden.io/item-details/7YibFrt5tK4sCRFeJCoesG8mC37FMvTjw7SwdeSh3Z2E,Solana Vipers,Magenta,Sage,None,None,Pink,Red VNeck
1509,0.18,126,94.13,https://magiceden.io/item-details/E7LExm5EPKxZRvrwp8J596McAL8ruaGNZrAsNg5V8Gov,Inverted Solana Vipers,Sunflower,Yellow,None,Bandana,Sunflower,Red VNeck
1526,0.52,487,76.22,https://magiceden.io/item-details/8AHZtdcQEuJiuhoprNtMBkcyTACQ3r9rDVqLdNdZ8fxa,Green Readers,Purple,Pink,None,Frog hat,Blue,None
1544,0.59,858,60.61,https://magiceden.io/item-details/qqkwAv9iwtRGvRENSLkwvrM9xe2hK4Qrmbb3Gu1gCVk,None,Green,Steel Grey,None,Afro,Brown,None
1546,0.28,60,95.79,https://magiceden.io/item-details/6Wg5Gg94v3KiR5bsT7iAvv29n8Ec66BGf8hW4HQHGAu6,Collar,Magenta,Purple,None,Beanie,Magenta,Blue VNeck
1566,0.47,161,89.83,https://magiceden.io/item-details/5bcEWW2vZQRpbUAKkfi61HGRTvBBxuxfpomntMyNYxF8,3D Glasses,Green,Grey,None,Yellow Miners Hat,Black,Red Shirt
1567,0.18,131,93.93,https://magiceden.io/item-details/BqBTmvMyeaa2SzMDkGXEJbgiXgLG6nWdifK8Gop1sG1k,Blue Readers,Orange,Black,None,Trash Can Lid,Pink,Pink Shirt
1592,0.18,443,81.39,https://magiceden.io/item-details/GPrESCZiBHXStRaaNUGJmkuEF2XG175xYKwaLWtZNfk1,None,Lime,Sage,None,Trash Can Lid,Pink,White VNeck
1594,0.18,404,82.96,https://magiceden.io/item-details/Fm6QC28YAFBSrW12dDHqEBQP94N7m26mdfxiZAp6Znqy,None,Pink,Black,None,Ham Hat,Blue,Suit
1654,0.5,159,89.61,https://magiceden.io/item-details/8ZxU3szQ94pve1cEb5HmMA9R65pZBFuKwETNNFV5f8bK,Green Readers,Blue,Purple,None,Cowboy Hat,Light Blue,White VNeck
1677,0.34,323,84.62,https://magiceden.io/item-details/4sotzGf3CXy7uyaMmNJj1ykzCfRRGZSJCBr4aGgSpvK9,Pink Readers,Lime,Harlequin,None,Hoiche Hat,Steel Grey,Yellow ZipUp
1699,0.34,387,82.04,https://magiceden.io/item-details/5UjsFZNfTsSi49hRizzXSFu5B65WxDhrXEdv7K4CQp63,None,Salmon,Purple,None,Turkey Hat,Magenta,Patrol Shirt
1701,0.2,149,93.01,https://magiceden.io/item-details/2jW3qJXRGHtaoqZFJZh9vyjwh3dsnK1JTB1rysSuxJar,Gold Chain,Blue,Silver,None,Pumpkin Hat,Light Blue,Orange Shirt
1730,0.84,411,76.08,https://magiceden.io/item-details/Cr8iGGG2AZzudHpemdmL6X479xPpKxyQJz1U8eT2GorR,Cigarette,Cyan,Yellow,None,Yellow Miners Hat,Sunflower,None
1752,0.53,652,69.49,https://magiceden.io/item-details/FdLf7EWXyDNtAQUVuhNw44ZxwVe9rv4FhRhee3i4e6oX,Inverted Solana Vipers,Orange,Fuschia,None,Ham Hat,Steel Grey,None
1754,0.2,258,88.63,https://magiceden.io/item-details/CzECbdcEDa1fSXxnxxT5Zmf8ikqyoZbJv2pfGXiLEccg,Cross Necklace,Lavender,Lavender,None,Plunger,Black,Green VNeck
1756,0.2,598,74.96,https://magiceden.io/item-details/9ptvGRg8eXvWLFKa68qyrhh5C5qP1UmdzpbZksU9bMkF,None,Lime,Pink,None,Flower Hat,Purple,Patrol Shirt
1763,0.32,558,75.37,https://magiceden.io/item-details/HtFFeUhNNHMNJfM98GMAwgEpiPmc7NMLz3srg3y9z3uV,None,Salmon,Pink,None,Flower Hat,Green,Pink Shirt
1764,4.5,107,51.7,https://magiceden.io/item-details/CW7XpCXtFpgLeZEnnWBVEw1n3cucihCPQSECjAUBzFkW,Cross Necklace,Pink,Brown,None,Frog hat,Magenta,Green ZipUp
1769,0.46,594,72.52,https://magiceden.io/item-details/HW7dnVuBUV5QwUbc1NJTUAyiLZL7qAYLANyT1Eb3qv6z,None,Lime,Green,None,Turkey Hat,Purple,Brown Shirt
