id,price,moonRank,💎 score (%),storeURL,Backgrounds,Body,Eyes,Head,Mouth,Neck
1854,0.4,674,85.13,https://alpha.art/t/BKWYSBwmpjq8feu5mgvkVeJ9CQKCEjZQ8HQpbukAg9Fa,Green,Brown,None,Purple_Beanie,None,Green_Balaclava
1884,0.49,628,85.1,https://alpha.art/t/2ms4K1a54aJ3jpxCEFLY3dyUnxPp5574tpsfN1KkULZP,Green,Blue,Blue_Sunnies,Orange_Beanie,Vape,None
1893,0.24,377,92.36,https://alpha.art/t/6BtP3SQ8YjpXAkt8TCz9ao9K2rWbDs8yHkPYgDvYVTaZ,Purple,Grey,Laser_Eyes,Blue_Beanie,Cigarette,None
1921,0.24,868,83.05,https://alpha.art/t/4f2rrA3SxJAH32ETqf9vZn4ZjDXbRXtbonVBhrHqhVC1,White,Pheonix,None,Pink_Rag,None,None
1932,0.5,311,91.01,https://alpha.art/t/6aEnJs3NWQWA3rneuX3DpQo1GXSHWjjcadAc64RDLcEK,Peach,Zombie,None,Orange_Beanie,None,Orange_Balaclava
1940,50,901,0,https://alpha.art/t/5LiKB1EnFnWBcY6d423rYwXPVdrG95HtWpxprZGxfMnJ,Purple,Grey,None,None,Vape,Pink_Balaclava
1954,0.8,97,92.06,https://alpha.art/t/44QiQaxNoUwqm917ixeEjYkqVNTSM6whppNJr4QQAy13,Pink,Tan,Orange_Sunnies,Cap,None,Diamond_Necklace
1962,0.5,719,83.28,https://alpha.art/t/9CZktaxVdwuRZDriS39JeLeorvpZGeEXG294kPtUT2FU,Yellow,Zombie,Specs,None,Cigarette,None
1993,1,1146,70.19,https://alpha.art/t/6UKUK7t6exFVyKM6TqVftSTTTUEcunpo6LNvotjyTGRe,Blue,Blue,None,Purple_Beanie,Cigarette,None
2011,0.5,1305,72.17,https://alpha.art/t/7oKapbFFYqFEutxiNmRTa5aUQVX3oXNjXh44u7x2SPGm,Purple,Blue,Specs,None,Vape,None
2013,38,940,0,https://alpha.art/t/9ARPDRPXNJfGiDLtuWgFD7W9wu98keCayb1tzB43DucB,Green,Tan,None,None,Vape,Green_Balaclava
2021,0.6,321,89.82,https://alpha.art/t/jfajMbjrHWXX6mMbJd6UbohAzYRTTvQFdDy97yV6AB4,Purple,Pheonix,None,Orange_Beanie,None,Green_Balaclava
2028,3,1518,43.14,https://alpha.art/t/CCGft2vZCmHGjsQFqmxtMLeEyFqKp51HmGYcfqimrzqE,Peach,Blue,ThreeD_Glasses,Fedora,None,None
2069,0.43,1115,76.47,https://alpha.art/t/CRfgfU9FcPRPZH5Q8w5HNS46VqUDK9E8EfQNm2eeNxb2,Blue,Tan,None,Purple_Beanie,Cigarette,None
2078,0.75,600,83.03,https://alpha.art/t/EgGft3uFc4mfgbALGo5egejsX2WuQwmvfZwsEBhpw23h,Peach,Brown,Tron,None,None,Orange_Balaclava
2092,0.8,1129,72.51,https://alpha.art/t/76dupWsdp9mEPAHWhH1S5Jykb7TUUBsCMbS4zwRMJ8oQ,Purple,Brown,ThreeD_Glasses,None,Pipe,None
2111,0.75,895,77.44,https://alpha.art/t/aQ4c18LMf85h135judqwizx3AG51uBkcKgkvNFGEhKE,Purple,Tan,None,Fedora,Pipe,None
2142,0.4,1017,78.63,https://alpha.art/t/CArxhgHbcwXbMttjBeLPxSNNDeZWrLjpcNcxiqTPyWQn,Blue,Grey,None,None,Cigarette,Pink_Balaclava
2159,0.27,695,86.03,https://alpha.art/t/D3HzRJ8wFciCWA9CmcCWSUfGpA3Ymcrd7VRkNwbo3bqt,Peach,Blue,None,Cap,None,Pink_Balaclava
2195,1,320,85.84,https://alpha.art/t/E8oeMAMYgekai1FFdygcmnuNGnQwLZNE6ivhcyxtDo7L,Peach,Brown,ThreeD_Glasses,Orange_Beanie,None,Green_Balaclava
2199,0.5,369,89.91,https://alpha.art/t/HWdfZkhYzsjRxQDUUvthvZrGsnFdNR6DUkz7jNZgQxNR,Yellow,Brown,Orange_Sunnies,Purple_Rag,Pipe,None
2211,0.99,506,82.41,https://alpha.art/t/7zz9cQJ2Bz1W5eE6KYnL71zUsN1zxSp65dYgobkd237U,Peach,Blue,ThreeD_Glasses,Blue_Beanie,Vape,None
