id,price,moonRank,💎 score (%),storeURL,Face,Feet,Generation,Hat,Outfit,Pants,Rank,Skin,Type
08926,0.8,2663,82.07,https://solanart.io/search/?token=GZUrtDXJPD9hGhggzqiXpJuYFfnJQzGavoexPUmYonnv,Bandana,Green,Gen 0,Pirate,Normal,Black,,Yellow,Robber
09310,0.1,4289,82.53,https://magiceden.io/item-details/6WMM9adNwkft48dvengDSJBGTEALZGEtRJMjwMA4sEji,Balaklava,Sandals,Gen 0,Wooly,Ripped,Prisoners,,Yellow,Robber
09399,0.14,1948,91.55,https://magiceden.io/item-details/9M54kAyma6KwT3NQ29gaHguHqL3NPcrP9v3rMcXVDid2,Nerdy,Red,Gen 0,Zoro,Damaged,Black,,White,Robber
09420,1.3,1171,83.08,https://solanart.io/search/?token=DqoY58p1rehi8zGxobiP738i5s6ftzirhy92iusqZS6d,3D,Red,Gen 0,Pirate,Normal,Jeans,,Orange Tanned,Robber
09437,8,7214,0,https://solanart.io/search/?token=21AuPtfRQTwM2D8vrD2xwaWdCtW7t2PPSQaJ78BfwJMv,3D,Black,Gen 0,Wooly,Damaged,Chinos,,Orange Tanned,Robber
09733,0.42,2185,87.8,https://solanart.io/search/?token=EMPLvjfra1cngzxaVEXXXePeG4zhfxbRiLq1YxjCSHYs,Nerdy,Orange,Gen 0,Peaky,Ripped,Bloody Jeans,,Dark Brown,Robber
10090,0.119,NaN,0,https://magiceden.io/item-details/4jK6vS9sUgU19icmH1bJhbEcF1B3JfhKN2SpGqGtcGjm,,,,,,,,,
10329,0.275,NaN,0,https://solanart.io/search/?token=9yBs5Lnr9cxtzW4hzhqdYcxCTTzghdL5h9WkqCeGKw6x,,,,,,,,,
10932,0.3,NaN,0,https://solanart.io/search/?token=3yTCctKqCJnRf3rLyeG8ke6XyYza3raZ1MCUKiwAtbMB,,,,,,,,,
10934,0.4,NaN,0,https://solanart.io/search/?token=46pdE9vCK9v4u19AY3NGTzC89CDpuWyqd9WoS6pHY1pD,,,,,,,,,
11471,0.12,NaN,0,https://magiceden.io/item-details/AYzTqTApZoCphGnJFULu8MdwnPtV5WFgVbquEca1hYBJ,,,,,,,,,
11870,0.09,NaN,0,https://magiceden.io/item-details/3x4WFTBAVw3HEMANoJASEpRMQGVpbFkAHP3fm5KK2wrw,,,,,,,,,
11883,1.8,NaN,0,https://solanart.io/search/?token=889V1RSy9tf4BFtFFBwJYu2pBxRgo9FNH3hNhcJzpYG7,,,,,,,,,
11888,1.5,NaN,0,https://solanart.io/search/?token=Ai1GPcoxtYH28SKQ1vNkKMBB4U3vuxq5YZb1joK96MNA,,,,,,,,,
13386,1.15,NaN,0,https://solanart.io/search/?token=9TeU9n2bVMoHd75e1M3SX5ZcdTW7exgVY6mfhFC5ZNpV,,,,,,,,,
13389,0.17,NaN,0,https://solanart.io/search/?token=7LJQ3vP7MjMgCgBSuecCQYkCLccg1cMrxbnzrXTvH8kU,,,,,,,,,
14010,0.2,NaN,0,https://solanart.io/search/?token=4SeHoq2kjc1ob7ZAzwTAVUTMMT8jV5afqNczDidzKgPy,,,,,,,,,
14488,0.11,NaN,0,https://solanart.io/search/?token=7bVXgXtQBr48NDKuBDe82e2hVZLChmyQ6kfiav37Bp9r,,,,,,,,,
14650,0.11,NaN,0,https://magiceden.io/item-details/8AEaffyhEZ3Yy6H6rkW2ZskjKoZynwvYWfEQYzjRFVca,,,,,,,,,
14862,0.13,NaN,0,https://magiceden.io/item-details/74rBGFGN2Kwaicf2BGvA6SRM7keyySr51hpUnh2C6GWY,,,,,,,,,
15108,0.09,NaN,0,https://magiceden.io/item-details/66LFhhSQYx8stzsx2Nj5yA63PfadgP9SM8z5GgS1t6NE,,,,,,,,,
15302,0.5,NaN,0,https://solanart.io/search/?token=5PhKg88zfSZgUFypUSpAUeKBueUmUe4KvEdtFfmACfo9,,,,,,,,,
15358,0.1142,NaN,0,https://solanart.io/search/?token=4WihXKEt3qw6znq9oAi1zZnu2kxC6p4Qo2f8UnMT1ghP,,,,,,,,,
15405,0.31,NaN,0,https://solanart.io/search/?token=AEaxBo41ct5WqSphJvE9FTaCzGKdaujeM3vgNdQSzpTM,,,,,,,,,
15646,0.12,NaN,0,https://magiceden.io/item-details/4jmwTgniANq7VxhGk5cSfLN6ZF1f8nH3JWXEut3xbfUN,,,,,,,,,
16175,0.15,NaN,0,https://solanart.io/search/?token=4MCowqLuajwEkrU6K4DcnchwFzQTDLuSDNfefNa2HaeJ,,,,,,,,,
16192,0.12,NaN,0,https://magiceden.io/item-details/8yz3LzNZ21g6EPdMbHsS1FnVmii241FfNGBnaEKQsqFR,,,,,,,,,
16277,3.99,NaN,0,https://solanart.io/search/?token=2p2EwMJVE42zBPD1Ku3YTugWEaAq63yrtSxUpFbG8NBT,,,,,,,,,
16457,0.25,NaN,0,https://solanart.io/search/?token=CkMVLHwiqFR2FARPK8sqFKjx42tirgMFXxK9nhXZb1PK,,,,,,,,,
17024,0.25,NaN,0,https://solanart.io/search/?token=4iuZNwcjWsiqaK1Zpd8L7ALgXGwMBT6kJZRooWzEZRSk,,,,,,,,,
17768,0.09,NaN,0,https://magiceden.io/item-details/9FKKUYYeaN3CGUKg9hsLhAUzvdrUYWvcfK1foPQr6GZr,,,,,,,,,
18236,0.15,NaN,0,https://solanart.io/search/?token=2hmk5XYve28F3bsNxvRUWM7WWg8kViVDW52eeoFg1ohU,,,,,,,,,
18292,0.25,NaN,0,https://solanart.io/search/?token=YPTDPJ6ktwq2xtezHYXB6hLTgcgqrLFAZt8VPpAkNjC,,,,,,,,,
18411,0.11,NaN,0,https://solanart.io/search/?token=3QWemwDT2BwFzLcv197GyWgdvdXX69iCsv1ifYCFqmqX,,,,,,,,,
18576,0.12,NaN,0,https://magiceden.io/item-details/7rnGT1pJz2VPQWZwPqirJZDeAy7epkMJkfnCXSqLn32s,,,,,,,,,
18726,0.12,NaN,0,https://solanart.io/search/?token=9k46zVtbgWBxbp5P21xUM4LqdZGf7tNLAJBvAcYcFL4a,,,,,,,,,
18745,0.1,NaN,0,https://magiceden.io/item-details/EafvKfvCE3oN8WFzCULgNefjoe6buyv2yoXMVC7TuTiR,,,,,,,,,
19396,0.6,NaN,0,https://solanart.io/search/?token=9ZV5DBkDxwUi5wBf7Rq7M2GMKj677MhPa6etUSr7vewf,,,,,,,,,
19695,0.12,NaN,0,https://magiceden.io/item-details/6jxRETs5rBBm1BUXVSZS8hW1Dsq2qNJhPAjQcY8CPrJE,,,,,,,,,
19915,0.1,NaN,0,https://magiceden.io/item-details/DwDoz2NzfbMFdw4pCT7DTcbn4KrqkSy8hENpDixY37Jd,,,,,,,,,
19934,0.098,NaN,0,https://magiceden.io/item-details/FAA7CZcYKosN4LkjTwww566sH44oTX2cvsmeWbCCXEoL,,,,,,,,,
20058,0.15,NaN,0,https://solanart.io/search/?token=HhGa8Mp3NhQE6uH7hcYDwhiP13qCpPYHXJG7oaaQURVR,,,,,,,,,
20086,0.58,NaN,0,https://solanart.io/search/?token=4y4en1b6YZhjDemMvLbFfBFHF22dY3iaBY9dKS2LxnEw,,,,,,,,,
20088,0.14,NaN,0,https://magiceden.io/item-details/Hcp5UDZMbwHb2yVhfveBuzaxKYMMFdC4xEEPfrenEJrF,,,,,,,,,
20176,0.09,NaN,0,https://magiceden.io/item-details/2gsoHing3hPGFENf3tkTPBBmbqCHhrmRaRGgyS9tfBJu,,,,,,,,,
20180,0.12,NaN,0,https://magiceden.io/item-details/Bs9zmKu6jKzVYVTFoWZs1GQdJdC9iz2Dryhmhyj141VW,,,,,,,,,
20506,1.8,NaN,0,https://solanart.io/search/?token=9QnVocScDxHcY7iwf2wkqWggYk1BW5Vk6iXJodP5gLa,,,,,,,,,
20523,0.5,NaN,0,https://solanart.io/search/?token=2wAc7ZWP3oM6u2XkTE652FKHf7fZg4r6M674JjSp3D15,,,,,,,,,
20812,0.49,NaN,0,https://solanart.io/search/?token=8a82cvSwP8Z7j8meDzL8qKpaSvztkEoN4zX5pXjymivr,,,,,,,,,
20987,0.5,NaN,0,https://solanart.io/search/?token=E7SKxhpu9T62Hv4TDuSdwPrW7wgEkdWdnN4XpJMTuhfo,,,,,,,,,
21046,0.14,NaN,0,https://magiceden.io/item-details/5suJ3gNcDfeinEYAsC5THxjCM2SyLigPv8WqqmPMBoeq,,,,,,,,,
21165,0.11,NaN,0,https://magiceden.io/item-details/7EEFEaF6djPauUxwZWT8GuGaKcKUZHFEzQwXsiN7gjTW,,,,,,,,,
21226,0.11,NaN,0,https://magiceden.io/item-details/E6ZBjYM86wkVfubfMa15k9Rt7suQR2vFLx84NqJVBbEM,,,,,,,,,
21247,0.1,NaN,0,https://magiceden.io/item-details/GeBMekAMA5zDgyX8TAGNtjpweQfvqfcYTcf8R8XVjktD,,,,,,,,,
21288,0.1,NaN,0,https://magiceden.io/item-details/HnPXcns8KHifz2zWYqq3eXGByN363W7sh3DSeuK8jzhx,,,,,,,,,
21387,1.95,NaN,0,https://solanart.io/search/?token=8YBRrBmdKy7P2H3B7ZWMZV1meAEYDjAHah7dPq7i69SL,,,,,,,,,
21399,0.1,NaN,0,https://magiceden.io/item-details/HWWj5a3cXrF6wENhz1q4nQC5aVG7BSfhYaMS6w1ohY4m,,,,,,,,,
21406,0.145,NaN,0,https://magiceden.io/item-details/6kyjSjEubb5KgcUHPERXnN2gE4vwUw4sCAFzZgDr6Q5c,,,,,,,,,
21467,0.087,NaN,0,https://magiceden.io/item-details/GzrjhZcbEZqTVMgNFwFKGvbGQ6D4wwy6fsAW2ckwMhai,,,,,,,,,
21486,0.14,NaN,0,https://solanart.io/search/?token=7HtWWtQwYE7kegrfBmepZq1yWh7ApM4jEZWW7ksfCMpA,,,,,,,,,
21502,0.15,NaN,0,https://solanart.io/search/?token=FkaSRb6EDH6LsZyTTiJLLkoYHZdBFvJrRBHQKBegizEd,,,,,,,,,
21554,0.13,NaN,0,https://magiceden.io/item-details/HYP8TuvVURCZaucvJVQWGMP5VCN48qRJovqUhUEUgq1z,,,,,,,,,
21575,0.1,NaN,0,https://magiceden.io/item-details/FA9dnQRdNgDYJL2DCkzLVqZCeRZEFTViRNiCvdjgFPkf,,,,,,,,,
21591,0.1,NaN,0,https://magiceden.io/item-details/5gdUG7h2oQMmBEJt6jLvPUtn9wRfuiSFTwtpvvGwy8xr,,,,,,,,,
21592,0.1,NaN,0,https://magiceden.io/item-details/8cX1grWGpWjaNCspEwwvWmBSDFFR4CNu1bHFBURjwZis,,,,,,,,,
21658,0.144,NaN,0,https://magiceden.io/item-details/T3hbjvcXkkKHDwvGphYsYgmUyQuNsWTkCxGKtvrQsSC,,,,,,,,,
21715,0.1,NaN,0,https://magiceden.io/item-details/C4iwYFQcg8CSknVrYjjyE1P663LyzwgBMvrgMoNNVWXY,,,,,,,,,
21732,0.09,NaN,0,https://magiceden.io/item-details/243cotuyLcq2DJ1AxAR8M2ZGSYxHv4tXJZz2H7iovAx2,,,,,,,,,
21803,0.1,NaN,0,https://magiceden.io/item-details/61YYBejcguPBWSBEH5ocjP3exXg2sSXuvz13mrTua42J,,,,,,,,,
21907,0.11,NaN,0,https://magiceden.io/item-details/8eKtmkxTbwWVrgBaNmr1pcTHvKgXfBj4UTQVDhMWe1cs,,,,,,,,,
21913,0.1,NaN,0,https://magiceden.io/item-details/E2jyvBGXW5tnNRZXiEC1GgmTREW9h8KvdSDmoV4Wdh9G,,,,,,,,,
21972,0.1,NaN,0,https://magiceden.io/item-details/vWpZz5xUXCPm6hC7JKgGiRD3Riove7t8cw2Yc52KmWj,,,,,,,,,
22017,0.11,NaN,0,https://magiceden.io/item-details/2TqZhLztG8LD9DEGs3cym3D9cmKybyd4bmr9mexAW8JS,,,,,,,,,
22365,0.09,NaN,0,https://magiceden.io/item-details/2F36uGsEydEVv7c3UpC4ehiSXrJD4qgwRbSVy2TQiq41,,,,,,,,,
22503,0.29,NaN,0,https://solanart.io/search/?token=6bUXgn4FnH1WhCTr9Q6ixEaFvLo7m1mPytjnpCydSZNF,,,,,,,,,
22508,0.12,NaN,0,https://solanart.io/search/?token=FZBUUoXWvUubnjarYH9ULXnwg18gkpTZU4gS3rQHx67d,,,,,,,,,
22617,0.1437,NaN,0,https://magiceden.io/item-details/GUixA1jrgPdoJNPLhxbZcdkKKzhEknVpsKLtA7hZ28jp,,,,,,,,,
22631,0.108,NaN,0,https://magiceden.io/item-details/GrLWUxMJ5DakUT4q6Vjn3YBUrwMvqCEeeLwSHF4fSWAJ,,,,,,,,,
22666,0.09,NaN,0,https://magiceden.io/item-details/CohjzKtKqRPEGN7ck1RDQt6zwFt7DNwgCfgJpS4q9oca,,,,,,,,,
22732,0.09,NaN,0,https://magiceden.io/item-details/3Rnvj76yU9tj1M847xVKAwzb8sBs9KU99FpdumDozmMK,,,,,,,,,
22830,0.099,NaN,0,https://magiceden.io/item-details/B1Nnivb58wZY4wonNUNHrMhjAXMgd7rFiUeE7SST1YSV,,,,,,,,,
22986,0.12,NaN,0,https://magiceden.io/item-details/B2TtZAmPjNt2pMxzoxkTjuyzjwYJvEVRhd1kzEWw6VmY,,,,,,,,,
23023,0.09,NaN,0,https://magiceden.io/item-details/B8wA6AWsq6eJpPsdzUuwdby93gm1BB1Q1tpef8FKEMk3,,,,,,,,,
23035,0.1,NaN,0,https://magiceden.io/item-details/B15AKVPzVwvYNNs9na4t1GM1x9sYPd9iBgfTHdBtyF29,,,,,,,,,
23075,0.121,NaN,0,https://magiceden.io/item-details/Hxn6yvmn5scghy2qY5ukibGvy1miJr3pF19YNwmDEvNH,,,,,,,,,
23111,0.09,NaN,0,https://magiceden.io/item-details/92X4BuMc5kZV23MUiDN4Nq7AmAUuPkEtai51cXENydRK,,,,,,,,,
23508,0.092,NaN,0,https://magiceden.io/item-details/AYoodgeS5EK8eXhmoGTgrfd7ET61v7RDLaurUa8VJuvc,,,,,,,,,
23610,0.14,NaN,0,https://magiceden.io/item-details/BfHsRhJNKi9xTBQvaw3wcoG8BxwL6koZoZedcu3kgBrK,,,,,,,,,
23653,0.09,NaN,0,https://magiceden.io/item-details/E4aVyrZKS7nqLCm9SV5Nxy75z7bELmzmBVEoN1X2NUeF,,,,,,,,,
23782,0.1,NaN,0,https://magiceden.io/item-details/HHwhzFyyVqRGHE6vVa6W8WPQKjgvW5ArbLTTBtJaWjrD,,,,,,,,,
23855,1.09,NaN,0,https://solanart.io/search/?token=Cb7Zw5nPnyCDtpXDbwqRAMHznFYvxVkCSZPwqteiFrLo,,,,,,,,,
23895,0.18,NaN,0,https://solanart.io/search/?token=87oPiq7pLw6r1DTqd36V7p95WeaPtgLubJWFbyBK2MrW,,,,,,,,,
23976,0.14,NaN,0,https://magiceden.io/item-details/3HtG2xJohud4iHZJtkdGcVvTX4wbZB8FpbmigRMjnhWV,,,,,,,,,
24010,0.09,NaN,0,https://magiceden.io/item-details/9e99eKckzzNW4oe3BhWseYD1962ZA78qUku9DTzfRqCR,,,,,,,,,
24170,0.09,NaN,0,https://magiceden.io/item-details/26zZWkgWQnuaeMS8BvCDQ5bRSP5WDCeaGywh9eEZ2jQX,,,,,,,,,
24201,0.0999,NaN,0,https://magiceden.io/item-details/ECzL7xhb5FaeWN8hwSSLrMDyZD1uknhvGiqzrVWLEfen,,,,,,,,,
24431,0.35,NaN,0,https://solanart.io/search/?token=BGLXuFX1u3NjBiUDQqAP7pAf5L8tLZp7fN43bYbY338D,,,,,,,,,
24442,0.1,NaN,0,https://solanart.io/search/?token=6nVQypmizYe7FcRfZ4YvDUHoik79pZ1gLrsPFkMRor6H,,,,,,,,,
24686,0.09,NaN,0,https://magiceden.io/item-details/BQokbTzXWWbXizfqhiKpNZmpEwVGQJsd4qGY8rEbK3Zf,,,,,,,,,
24864,0.09,NaN,0,https://magiceden.io/item-details/HumTzW136cuGy4eAuqmVrpnfrcYeNhuRoxHDHhRLinDu,,,,,,,,,
24895,0.105,NaN,0,https://magiceden.io/item-details/EC5a4cadxm8kWbXT7HsRpSEntiq5x9BrMVQdrP8FcdXj,,,,,,,,,
24897,0.119,NaN,0,https://magiceden.io/item-details/Cv2VLzfpcwhSBsug3wZwNoBtS92hEFuH7iat61CqGRQn,,,,,,,,,
24955,0.099,NaN,0,https://magiceden.io/item-details/2jXHpWomiJ5ZLhymoEvb48aKHVwnJUYKevVFcF4wcNZy,,,,,,,,,
24982,0.11,NaN,0,https://magiceden.io/item-details/Bd49uRP9yLzNQ2muKwEv1DcTzsEPqSacSvzeEkX4HHqq,,,,,,,,,
25015,3.99,NaN,0,https://solanart.io/search/?token=BKmDHBZcwQ9nKTfAfKxTUFUCP5x43kK8HYFTFDBhFWwE,,,,,,,,,
25154,0.08,NaN,0,https://magiceden.io/item-details/7nAXPbiAc3gvbN3tZukiPeKZ123r4snkSXoj6YDJph3h,,,,,,,,,
25487,0.09,NaN,0,https://magiceden.io/item-details/pJYQecth6XDYLaoAmNxq8Z6ZXsCJKtczasfTJTjVSZc,,,,,,,,,
25554,0.108,NaN,0,https://magiceden.io/item-details/AFugKS8vskPYJiLKJ4aXxhU5tio1611RHc9v6vYQC2FL,,,,,,,,,
25565,0.14,NaN,0,https://magiceden.io/item-details/8Ry9Njy9FT7UGwkVexSqJgA9orYtS8ujDEkLa5oyTHZe,,,,,,,,,
25611,0.1,NaN,0,https://magiceden.io/item-details/G6xhtgiJaWy7PSFv5mT23EfNWKDGCgz2fLftkuoDfnEA,,,,,,,,,
25667,0.375,NaN,0,https://solanart.io/search/?token=ChRkyQN8aTnHkZdaGxr441um3555x2PiZ93bZqEP5UYx,,,,,,,,,
25679,0.09,NaN,0,https://magiceden.io/item-details/9iVGFZgoRnB8w2NvMYXzHH2cZqVswAKCNrsQEpvX14bP,,,,,,,,,
25802,0.1055,NaN,0,https://magiceden.io/item-details/FUmiiePZZtX7jaPBdnvxpwHu2i5DjBYbYNNktg4uNWyH,,,,,,,,,
25963,2.1,NaN,0,https://solanart.io/search/?token=EaKKJBsw1YTGcRY7rxTJfaQRcQQqYKRXB3T5x5JkBHg2,,,,,,,,,
25965,0.09,NaN,0,https://magiceden.io/item-details/BFxibY9girnKoZTGyKRsugLCVBBMAkRyZVQouWqEfGNZ,,,,,,,,,
26107,0.12,NaN,0,https://solanart.io/search/?token=cYah858KcraB9G6VB3M7ecmNcYWwhgLpLHvEuUMgVgk,,,,,,,,,
26465,0.2,NaN,0,https://solanart.io/search/?token=BQkcGwnVMWj16SbEAS5y5yLias9SzJLiawobNZnkkuSF,,,,,,,,,
26475,0.7,NaN,0,https://solanart.io/search/?token=ANpKxynimJrfJ9mEBPKpTjKP5xjd2SLp8QZr76RctxAy,,,,,,,,,
26490,0.098,NaN,0,https://magiceden.io/item-details/4uYcM6Wri8xkHULFWCN5LUq9fVNnKVTy8CUu8XHeieuT,,,,,,,,,
26545,0.44,NaN,0,https://solanart.io/search/?token=64TJBG9UfuQ8di6PT4qKWM1jJQF52XdBoeAzsdz6Camh,,,,,,,,,
26609,0.1469,NaN,0,https://magiceden.io/item-details/HqQ6U2hSt51CqpBB6DNc16KKWgJqtbGbdMhyCSmmczi3,,,,,,,,,
26674,0.09,NaN,0,https://magiceden.io/item-details/5DrbtET8NCcW5a1SNXbUKHXVaUyaaYhLsCbCs1d97mUY,,,,,,,,,
26841,0.1,NaN,0,https://magiceden.io/item-details/4eTYRvAwxGwYvqWWNi9Yx9ixBrCj9QGnFaT3Er3EcSB3,,,,,,,,,
26944,0.1,NaN,0,https://magiceden.io/item-details/6BNRvmjfPLX4XcqQzLcxzYcnDUCzUBEMza4crenmpFQS,,,,,,,,,
26976,0.09,NaN,0,https://magiceden.io/item-details/CVpb4zBEH8BQDMUKjrBrsMZrVbDA6C6YdkaAvyEryr9X,,,,,,,,,
