id,price,moonRank,💎 score (%),storeURL,Arsenal Back,Arsenal Front,Background,Base,Decoration,Elite,Eyes,Headwear,Nose,Outerwear,Outfit
477,4.5,7341,45.64,https://magiceden.io/item-details/9cw7yig5KJ5DPzSw8NYNGYazg65xw4jYCjeVUKggg86z,,,,,,,,,,,
495,20,8734,0,https://solanart.io/search/?token=A93S4qkqUY6BBYkjy2zvD2HD26rRg2289xbRCrv1Bu1a,None,None,Fuschia,Diamond - Default,None,,Bored,Flat Bill Cap (Adventure),Heart,None,None
500,8,8586,5.66,https://solanart.io/search/?token=FKv4V64uq65cA3n376eqZSHTHnU5HPi8LbkYtejBYn8R,None,None,Red,White - Oooh,None,,Monocle,Candle,Default,None,Turtleneck (Red)
528,39,1950,0,https://magiceden.io/item-details/DrCtzAo1R89nRsD8vbysdx7wbGnWedJVLS4GPev6B52A,,,,,,,,,,,
541,13,7103,0,https://solanart.io/search/?token=GEkywggd48j5w7WGtNVUrctmgy9Ps2LWeKhaMwZAXBPT,None,None,Fuschia,Gray - Open-minded,Hanging Charms,,Angry,Crystal,Default,None,Tanktop
544,6,3399,46.4,https://magiceden.io/item-details/AH57RqRZuRG6Wa6exeKWCz8YiuLGQdttaCpqdMUQDYKr,,,,,,,,,,,
640,4,4571,61.72,https://magiceden.io/item-details/9dCQ798686HNdMbg3j46u7FYLtLyGq9fcNMVaKokeVwb,,,,,,,,,,,
642,3.22,7830,56.48,https://magiceden.io/item-details/28SLDn8wn5Hkhouw4Z56WmfEjGBR86ERQ4tTqBm9rPa2,,,,,,,,,,,
647,14.99,1936,0,https://magiceden.io/item-details/6s4MSjoM8mShTo9hozFT54pFoAes8HQQUEiBA2Dcqec3,,,,,,,,,,,
654,19,1207,0,https://solanart.io/search/?token=J1mKPHPNd9Xs4gbNFqJN6SykheCXCLxHCCe4Q9FJ1zfQ,None,None,Red,Silver - Default,Sigils,,Superhero Mask,Trucker Hat (Purple),Narrow,None,Astronaut
661,500,392,0,https://solanart.io/search/?token=Acaxcy1VxMVyke5Sbpb9GvWJ9FmkG96S1EddX5yvip7y,None,Harrow Staff,Fuschia,Red - Oooh,Piercing (Left),,Adorable,Punk Hair,Piercing (Studded Hoop),Gas Mask,Basic Tee (Blue)
676,11,5257,0,https://solanart.io/search/?token=JCf2aKC2HH52RH8KxMVZsU4wjaqjAJJpYL2MBW6q73J2,None,None,Bone,Yellow - Side Open,None,,Eyebrow Raise,Princess Circlet,Mustache,None,Reaper Cloak
694,6,6569,33.72,https://magiceden.io/item-details/7UQYAiTqByMfjStgrZDyQ4RRLA69gK6A6qA5U2CEwkrj,,,,,,,,,,,
697,50,3068,0,https://solanart.io/search/?token=A2b5xwN7xk2HsKTGU7FkZfiTjwwLoc2CFYqVR7YFGUUu,None,None,Red,Blue - Cigarette,Piercing (Left),,Default,Serow,Piercing (Barbell),None,Turtleneck (Blue)
704,7,2862,38.55,https://solanart.io/search/?token=46zjyq9cdyBAypNiFtVVTM4z7sEYurcZKjeAKsPZgApx,None,None,Blue,Green - Open-minded,Freckles,,Glasses (Half-moon),Lil Skully,Triangular,None,Mad Matt Jacket
738,9,2425,20.3,https://magiceden.io/item-details/ESR1LW9SWvo7aB3UKg7ZrNSwYki3iJGzSFzVVyF2W2KW,,,,,,,,,,,
748,10,493,18.03,https://magiceden.io/item-details/BLHuYNURmspwpTW2ThR6ktTBq2BrUVHqvgd9KNyVNAzE,,,,,,,,,,,
756,5.5,7107,36.57,https://magiceden.io/item-details/DXwjsSEzwck6Jz4uGR56GV17f7tzXYE9h71GWkgqK46s,,,,,,,,,,,
763,55,4223,0,https://alpha.art/t/HqpDspRzZUb63LmuBvctpB8do9oMvc5S1oKqXSHse8Qn,None,None,Sky Blue,Yellow - Gold Tooth,None,,Default,None,Double-Barrel,Astronaut Helmet,Turtleneck (Blue)
767,50,863,0,https://magiceden.io/item-details/DQ7NwXxFg5CyipUr7sZZAkvQ5qauPnM3f6YU4vaA8PNH,,,,,,,,,,,
774,29.99,2351,0,https://solanart.io/search/?token=Bj88DiasUnb5QYvV3PbFfvmaCYSXEzxhfCb5v1yBAYiu,Divining Staff,None,Fuschia,Black - Open,None,,Eyepatch,Flat Bill Cap (Coffin),Double-Barrel,None,Turtleneck (Blue)
793,2.6,8271,60.92,https://solanart.io/search/?token=Frsffth6JM9DrBhTAmfVbLirTjNE4oooweDHEsFM8hNZ,None,None,Aqua,Purple - Side Open,None,,Eyeballs,Flat Bill Cap (Adventure),Narrow,None,Robe (White)
803,4,1818,72.73,https://solanart.io/search/?token=DVwKj9hQNMpvkgbtAt12UXPxgUFGPy6TvWrZ7BLpJfP3,None,None,Yellow,Green - Sewn,Hanging Charms,,Closed,None,Piercing (Studded Hoop),Reaper Hood,Turtleneck (Red)
804,7,5535,27.86,https://magiceden.io/item-details/2XAzfqYZbzMJ4zmMASYav1zJxmFuAoVDRYUYMGdtwMhd,,,,,,,,,,,
839,33,30,0,https://magiceden.io/item-details/zFcGJ5VSe6oZumSAbZo66gQzB3JjjSPNB1tWjyyka4z,,,,,,,,,,,
848,4.4,8093,43.63,https://alpha.art/t/8uwhe9ZbjirRJGndwZ4W6f1uTRF2FBtTJdNASje7rhkz,None,None,Purple,Green - Oooh,None,,Sunglasses,Jr. Sailor Cap,Double-Barrel,None,Basic Tee (Blue)
872,3.5,770,81.92,https://magiceden.io/item-details/AGi1Mohq9obwC8mqrcb2FKuBdAH88WwFvjvGNpFWSHdg,,,,,,,,,,,
904,11,5787,0,https://magiceden.io/item-details/BMuAHeVc769SP44MbPpgA67824LfswC1QFqchRDjHn8V,,,,,,,,,,,
993,6.66,4829,34.08,https://solanart.io/search/?token=24Htq1Kx5Sz27vQ25Yq12dcByb6Dpy5jxKTwcXofb4m4,None,None,Yellow,Gray - Cigarette,None,,Occular Tech II,Beanie,Piercing (Studded Hoop),None,Bowtie
1015,199,9998,0,https://solanart.io/search/?token=EVq1URy2jQsrJWnJLmBzb8Hp1FgXC8xiESzXituNLxBH,None,None,Blue,White - Gold Tooth,None,,Closed,None,Default,None,Collared Shirt (Green)
1016,4.88,6333,45.87,https://solanart.io/search/?token=98JBsrQnv1tqRdBT9fVKzTnATFsq1fNpR9GrYe3qXVp,None,None,Green,Red - Lockjaw,None,,Cyclops,Conductor's Hat,Heart,None,Collared Shirt (Green)
1030,7,4764,30.94,https://solanart.io/search/?token=gbPrv1Dm4MGEXvLXntS31MNNUy7kWCNJd1ApZArYFq2,None,None,Aqua,Black - Oooh,Piercing (Left),,Sunglasses (Big),Ballcap (Night),Heart,None,Tanktop
1032,55,523,0,https://magiceden.io/item-details/6rfJy2EKphUtQQoN9dAbDZiPWYZtYNCopqUX3V6Zufco,,,,,,,,,,,
1086,99.99,656,0,https://magiceden.io/item-details/7Es4xBmDukub3wTfWtePTjytiJbE77gLvyF3LhsxcDRU,,,,,,,,,,,
1119,150,835,0,https://solanart.io/search/?token=BVjE2hMNpsXp8aCEduDqtFxxqWeBdDY1GagEuv2V1jK9,None,Soul,Slate Gray,Cybernetic - Default,Piercing (Double),,Flower Eyes,Tilted Halo,Heart,None,Basic Tee (Yellow)
1125,2,8232,67.07,https://solanart.io/search/?token=FbRD2fu36r9BY4b25nNV1vZcirN2iHwud3k4QXh9cbov,None,None,Red,Blue - Open,None,,Monocle,Trucker Hat (Dusty),Triangular,None,Turtleneck (Red)
1138,12,7429,0,https://solanart.io/search/?token=BkkEp9wMQYEpeCrpykubaycrRmNUuS4GjLvEpqtcwXim,None,None,Bone,Gray - Toothy,None,,Coins,Flat Bill Cap (Adventure),Piercing (Hoop),None,Collared Shirt (Gray)
1150,20,308,0,https://magiceden.io/item-details/CwCLKbx7DS7mz5e8zyGtg3wFtSozQ2icHUPov6Mgf88d,,,,,,,,,,,
1159,8,8027,7.89,https://alpha.art/t/G2Xe6tgvwXBSm43uHfLVizSyQWGZ8JSK2132PyodKHPE,None,None,Blue,Purple - Open,None,,Default,Dad Hat,Double-Barrel,None,Suit
1185,14,3314,0,https://alpha.art/t/HsUQp5XEdgLUqDMEoGBCW68uudfNzb1w37NH7935noW7,None,None,Sky Blue,Black - Fangs,None,,Glasses (Round),Propeller Hat,Piercing (Studded Hoop),None,Power Armor
1198,5,1937,62.25,https://magiceden.io/item-details/3z6D8wc6fNDSmuGUvuX1tTy9QFtbEm22fADbANpA37FJ,,,,,,,,,,,
1242,19,6221,0,https://solanart.io/search/?token=F7gLayz8GU4QTP4N8fQGCC7ZYi7qaH55bxTzqL5Npm26,None,None,Green,Blue - Open-minded,Freckles,,Red Visor,None,Narrow,None,Turtleneck (Blue)
1243,10,9316,0,https://solanart.io/search/?token=B93Q8nUPwk3LQVygW6AUru1QXLHgd8HsfrqDtwjTeWJb,None,None,Pink,Black - Cigarette,None,,Googles,Crystal,Heart,None,Tutrleneck (Black)
1245,25,3453,0,https://solanart.io/search/?token=F6uDUPCheVxhvJLbLsN2JrZqRPQ7CXzyedj5CWbAeDFm,Oerberus Halo,None,Aqua,Ice - Default,None,,Glasses (Half-frame),Viking's Helmet,Default,None,Turtleneck (Blue)
1256,30,2846,0,https://solanart.io/search/?token=AdN4khaetTpe5FJRdB3q6FnwknvzLersJrhdKqRherjc,None,None,Red,Green - Lockjaw,Piercing (Left),,Adorable,Punk Hair,Piercing (Hoop),None,Explorer's Outfit
1257,60,114,0,https://alpha.art/t/2Rp6Fq2CjEcqKQvgVpqcPW58FasFajdju6aE5NDKkEed,Herald's Halo,None,Fuschia,Ancient Cthulhu,Runic Marking 2,,Ancient Default,Circlet,Beaded,Overgrown,None
1285,19,8762,0,https://solanart.io/search/?token=2nuGZWiMPwaqPexDMX7wA3YsmwRGGezL6zHmqSVieHbK,None,None,Green,Blue - Cigarette,None,,Default,Trucker Hat (Green),Mustache,None,Turtleneck (Red)
1286,6.25,6650,30.9,https://solanart.io/search/?token=BAEQawaRaDECFu5kTgg3x39FV8DQitD5Kh7nHf8jtUSc,None,None,Green,Red - Lockjaw,None,,Feminine,Baphomet Horns (Golden),Piercing (Barbell),None,Tutrleneck (Black)
1327,9.69,1213,18.25,https://magiceden.io/item-details/9PFjUKVamU8qn5Zr9sqkVgM1jY9XSusQGHg2pb5tdTkn,,,,,,,,,,,
1356,6.4,5094,35.62,https://solanart.io/search/?token=3NDXdEhfwCZYgYSEwNrsVFhosM5T7uhA4WrCmubdW6AQ,None,None,Green,Gray - Open-minded,None,,Eyebrow Raise,Crystal,Mustache,Gas Mask,Basic Tee (Yellow)
1383,5.5,2668,54.33,https://magiceden.io/item-details/7Coj5L9pdcN3u4JGrtXG2HSk4vmwCYK8SA5Q4srGoLWL,,,,,,,,,,,
1391,3.5,8236,52.06,https://magiceden.io/item-details/3cVNWSomV2A8okqST4Nbpk3QjzFiiVkz3ay93K42X4wa,,,,,,,,,,,
1394,4.3,4482,59.07,https://solanart.io/search/?token=BnTjCF59kjp79YLfSMtKpykcXokSqgs9hUYX9fxxvoBh,None,None,Purple,White - Gold Tooth,Hanging Charms,,Parasite,Viking's Helmet,Piercing (Studded Hoop),None,None
1426,7.11,4564,30.64,https://magiceden.io/item-details/CztQZtBa1UyZEyhqdKtxJuW3r82oAcp8V7r93jjn9LQU,,,,,,,,,,,
1468,8,4510,21.96,https://magiceden.io/item-details/FtEeEz7tw8CyQPauhkFiKpusbmBiPTMYL2zT34nYeBbn,,,,,,,,,,,
1481,7,3957,34.17,https://magiceden.io/item-details/DtGNxVdP1QtRTx6K9ZRQkemsQG397VDSibwmpeChz2LE,,,,,,,,,,,
1507,12.88,756,0,https://solanart.io/search/?token=7ychUxMQDqu3ZQ8cFFfWbZWWSCZnMZEZbgqo4imHAqc,Oerberus Halo,None,Pink,Yellow - Lockjaw,None,,Bored,Ornamental Circlet,Heart,Surgical Mask,Collared Shirt (Gray)
1596,4,9167,43.33,https://solanart.io/search/?token=9TRvcCiuVsNN5FNaXeuSidXwG3TWBhHRfJSFE8os9bc5,None,None,Red,Black - Gold Tooth,None,,Glasses (Half-frame),Cycling Cap,Triangular,None,Tutrleneck (Black)
1603,18.690001,2229,0,https://solanart.io/search/?token=9KtkgXiumsiFGN3coUtayjCRSKa5iNTq6ikrhNjY4epo,Oerberus Halo,None,Purple,Slime - Default,None,,Angry,Bowler,Narrow,None,Overalls
1620,18,954,0,https://magiceden.io/item-details/CtCVHpJCGPdoNfyv5xdVAGRJL47vLhtcwVmcW8cGq7fX,,,,,,,,,,,
1623,22,3723,0,https://solanart.io/search/?token=64SWobmCRXkv2WqaPtAmRBjiJFpsgwaMy27PAsQcLC2r,None,None,Blue,Gray - Cracked,Piercing (Right),,Bored,Trucker Hat (Green),Piercing (Barbell),None,Hoodie (Gray)
1642,15,627,0,https://solanart.io/search/?token=FqAYgKqiBWoWeosyH34M71yUPtmcbSuHbxTam3Nb7RZM,Draelic Nimbus,None,Sky Blue,Golden Automaton - Default,None,,Eyeballs,Athletic Visor,Double-Barrel,Bandana,Basic Tee (Black)
1644,19,6759,0,https://solanart.io/search/?token=5WMoUVZDvScuvVu76VgRcKKDpoVNrvZoYfEbqComLam8,None,None,Bone,Green - Side Open,None,,Bored,Sailor's Cap,Piercing (Hoop),None,Silver Armor
1653,19,6183,0,https://solanart.io/search/?token=De1XT8BboHHLoZJF87MS86Rhtrgvks4MiFiEpn6bbBeV,None,None,Purple,White - Open,Freckles,,Adorable,Headband,Default,None,Collared Shirt (White)
1677,6.9,7683,20.27,https://alpha.art/t/62G4mt12THae5VSbFLBGebGxfkAvWAjSk3QE19rnrffs,None,None,Green,White - Toothy,None,,Glasses (Half-moon),Halo 2,Mustache,None,Hoodie (Red)
1681,3.4,1593,79.63,https://alpha.art/t/2mPH39Vmjzf8swSAx1iTQWsisBJHuw1j68p1dH5npGvR,None,None,Blue,Gray - Default,Freckles,,Sunken,Halo 2,Default,Surgical Mask,Turtleneck (Green)
1686,9,6797,2.81,https://solanart.io/search/?token=GCruXJw7AyucKUDhuVQqgkb7zmijwxUvbtCzaSJVCdqm,None,None,Yellow,Blue - Open-minded,Piercing (Left),,Eyeballs,Crystal,Heart,None,Collared Shirt (Green)
1702,6.495020443,6670,28.37,https://magiceden.io/item-details/7XtJxVd1ahkh4tZQsSDTMduFjEjeEy9KLcTKM9dypcc1,,,,,,,,,,,
1726,6,2094,51.62,https://magiceden.io/item-details/H84VWaKKWtQqbT6g8T11PeEcn2K3RWS72W6VcFZqSrfq,,,,,,,,,,,
1735,6.9,6854,23.58,https://solanart.io/search/?token=9fy6iqRGoRBFHGnzrxuWY2WLC9N1LX7r1uFATSXCKiuv,None,None,Yellow,Purple - Cigarette,None,,Scope Technology,Tiny Crown,Narrow,None,Tanktop
1745,10,9903,0,https://solanart.io/search/?token=eKQgNkcg1CQLrxr1wD9UyEiu7Pwt74YpGeUv4Hp1iHa,None,None,Blue,Purple - Open-minded,None,,Eyebrow Raise,None,Narrow,None,Hoodie (Red)
1747,8.88,4045,15.02,https://alpha.art/t/BKzLyf8HrW1bSuDQcWN2UGaXSCiH5pwqokNkhTHAkJSd,Sheathed Sword,None,Aqua,Red - Lockjaw,None,,Angry,Tilted Halo,Double-Barrel,None,Basic Tee (Yellow)
1751,6.6,9809,14.76,https://alpha.art/t/FN8omtP5gQ4pXyMWba8whh5dmEfrzGJpEWGpHCAsaxYM,None,None,Deep Gray,Green - Open-minded,None,,Sunglasses,Jewel,Triangular,None,None
1756,7,8858,14.57,https://magiceden.io/item-details/3nqBbL9C5poGdc3qVWSEDZj47vRTU4bpSZSJ6GJKzrMi,,,,,,,,,,,
1757,30,2168,0,https://magiceden.io/item-details/CauAuKzKc4Mxy7fShSJ4Q7Zfjm36GvPAGo9E3XHaZcmT,,,,,,,,,,,
1772,8,1241,35.04,https://alpha.art/t/F53QCBvMXyzTUHy2QJJPygVSfbrhjMwm3W2ofiqJJ85F,None,None,Fuschia,Diamond - Default,Freckles,,Button Eye,None,Triangular,Reaper Hood 2,Basic Tee (Black)
1781,12,2125,0,https://magiceden.io/item-details/2o7PJeN3ArdegkEbMWGoqFPo8FqiVReAdUC87wDgVh8e,,,,,,,,,,,
1797,3.5,8044,52.82,https://solanart.io/search/?token=Bi215nUuEUFQuuJ994oCh5wxzN95Avx4xSzcXMpD3ECs,None,None,Green,Purple - Default,None,,Bored,Princess Circlet,Double-Barrel,None,Basic Tee (White)
1806,9.69,2972,11.21,https://solanart.io/search/?token=E3jUfK1JKBHq25yRcwwhaeR3SA4KvrZKze7BqPiVo2U6,None,None,Purple,White - Lockjaw,None,,Closed,None,Narrow,Astronaut Helmet,Suit
1821,5,6929,42.28,https://solanart.io/search/?token=J21Vj8hpmYcEn329rFgVbohua5Tt2TYmHfbTMTPKmPZk,None,None,Purple,Green - Sewn,None,,Eyepatch,Officer's Cap,Narrow,None,Hoodie (Blue)
1825,11,6136,0,https://alpha.art/t/GTofzqf8Z4A28Fj5ZeuQY7NjMWR3BnSUvKtKPiWa7sPX,None,None,Slate Gray,Gray - Gold Tooth,Piercing (Right),,Dead,Bowler,Narrow,None,Basic Tee (Yellow)
1863,2.35,9620,58.02,https://magiceden.io/item-details/4qiv9jqRuZkM1VsWKN2KRpEiSdmHEbK2iqntC7veoHi4,,,,,,,,,,,
1882,7.42,5272,24.71,https://magiceden.io/item-details/C6mNwA4n7iqULTw9KGdjqmMynAC5wqoPHX2KqgCuqnLR,,,,,,,,,,,
1886,3.9,3374,67.5,https://magiceden.io/item-details/76Nf9oyAHRs2hHNrxMWBWaad1AonbBALxvDTEwDcwzMx,,,,,,,,,,,
1894,9.99,3903,4.49,https://magiceden.io/item-details/HgnPKy2MwGpDECgJF9XxcWBwemxXR4mCwWtcDmG84wkH,,,,,,,,,,,
1905,10,7034,0,https://alpha.art/t/9qcHehQLYxhPRWgbYUr8j4pS5UEEFsCNGab8GSDVWpzu,None,None,Purple,Blue - Sewn,Sigils,,Button Eye,None,Heart,None,None
1928,100,1838,0,https://magiceden.io/item-details/31JRpS7ph9GfonhFeEUqU1XpKuV1q3Pgv4k3q3A6ug9D,,,,,,,,,,,
1938,4.5,7259,45.96,https://magiceden.io/item-details/GCoaB4Lm5bMreA3YyiF3eYCYKeqMYbSmXvXkDMvE5pbW,,,,,,,,,,,
1949,4.5,1118,70.53,https://solanart.io/search/?token=4HZSiqhjCavProhpXKh8cY5piLssbRJRpFJftsVwYgdJ,None,Soul,Deep Gray,Purple - Fangs,Hanging Charms,,Superhero Mask,Cowboy Hat,Heart,None,Basic Tee (Yellow)
1964,10,8403,0,https://solanart.io/search/?token=FUR3heF5pDpm6dLRsUpCLJSqqMowSe4KtGSh6iSf93fG,None,None,Red,Green - Toothy,None,,Bored,Jr. Sailor Cap,Narrow,None,Basic Tee (Yellow)
1967,44,717,0,https://solanart.io/search/?token=H8gvRJ6AHEBygLduMoCe2KgGXipnSiHPpP321gVgqufg,Herald's Halo,Soul,Sky Blue,Red - Open,None,,Possessed,Headband,Heart,None,Hoodie (Blue)
2015,14.99,7877,0,https://magiceden.io/item-details/9fijRSQPw9uykfJdxa4om2vSAHyQXF2UH88t5Qjx1DDq,,,,,,,,,,,
2018,5,9927,30.29,https://solanart.io/search/?token=9m2Wv2s4B4ni1vFbggw8m3e1CCREEWyHGbjBHiN43u54,None,None,Green,Black - Oooh,None,,Default,Halo 2,Double-Barrel,None,None
2028,19,6605,0,https://solanart.io/search/?token=9cYEeh3DJBZtXhSQWvxaD6McjJUR6yYE2aqUS3HSynHC,None,None,Bone,Purple - Cigarette,Freckles,,Sunken,Flat Bill Cap (Coffin),Heart,None,None
2073,4.3,8634,42.46,https://alpha.art/t/3Xf7tLDERN1H55GniqQ6dNzhFhyKabWMZxLrquCCBGtP,None,None,Green,Yellow - Toothy,None,,Sunken,Bowler,Double-Barrel,None,Robe (Pink)
2078,20,607,0,https://solanart.io/search/?token=7aNQymwefTPSBoHA89vnUi1bN9JBSM5KJdAWWZwzh7g3,None,Seer's Orb,Yellow,Black - Side Open,Hanging Charms,,Flower Eyes,Trucker Hat (Dusty),Mustache,None,Turtleneck (Green)
2102,7.69,6329,17.78,https://magiceden.io/item-details/8b7fJm2FcZmeuLTbmxgbyp4rKjKnm8rhnnZcbYGwrBhc,,,,,,,,,,,
2126,21,2970,0,https://solanart.io/search/?token=BXFDbJssHoH7NtRwfpJv6fub8LZbeJUySpcqAQoueC6e,None,None,Red,Purple - Open,Piercing (Left),,Eyeballs,Baphomet Horns (Golden),Piercing (Studded Hoop),None,Basic Tee (Red)
2131,8,4064,23.74,https://alpha.art/t/Gqo4qMsb4bBtNB7zAzTNBaDMY96Ft7fDcHnZxbLpsJ1m,None,None,Bone,Blue - Oooh,Piercing (Right),,Blindfold,Viking's Helmet,Double-Barrel,None,Hoodie (Purple)
2135,9.67,6887,0,https://solanart.io/search/?token=D8Z5qr3KknE9DT2K9UxqwfgMZ1GXRfezUkugWEyQfnK9,None,None,Bone,Emerald - Default,None,,Closed,Ball Cap (Skull),Mustache,None,Basic Tee (Black)
2137,8.2,9332,0.67,https://solanart.io/search/?token=Cc3eGKyVAAWWd1GeCrfUkdGAecMpuw42BM14L18szAg5,None,None,Bone,Yellow - Oooh,None,,Default,Bowler,Double-Barrel,None,Tutrleneck (Black)
2154,3.33,8954,50.88,https://magiceden.io/item-details/2Q6ruAjpTwP12Vn2ZbzG68kjWjTnDYtPu4sfryjt1Q5d,,,,,,,,,,,
2166,4,8812,44.75,https://solanart.io/search/?token=CAgk6VJj95SkPKmJce8mEMT7bCmwLXvW9trzSn6Zy62B,None,None,Red,Purple - Oooh,None,,Flower Eyes,Horns (Small),Heart,None,Turtleneck (Green)
2167,4.5,2769,63.92,https://solanart.io/search/?token=4ytiWM8ES7pdTdPegvwxSLfb9aZqaumKFjiZYgBAotsE,None,None,Pink,Blue - Lockjaw,None,,Eyebrow Raise,Cycling Cap,Narrow,Surgical Mask,Tutrleneck (Black)
2183,30,414,0,https://solanart.io/search/?token=3bc8PbZSTciYg7CXQ87fBVAf1kPGzNS8DWScFegG3WK8,None,Soul,Yellow,Robot - Default,Hanging Charms,,Angry,Trucker Hat (Green),Triangular,Goatee,Tanktop
2184,20,8606,0,https://magiceden.io/item-details/FJE7SmAWZ2sr4QBaJ4aw8c7PCWMuzJkuKoBrXZ155pm2,,,,,,,,,,,
